rank,lemma,old_translation,new_translation
6134,pegó,he sticked; she sticked; it sticked (completed past),he hit; she hit; it hit; he stuck; she stuck; it stuck (completed past)
7704,jornadas,day (plural),days; workdays
7998,vendedores,salesman (plural),salesmen; sellers; vendors (masculine plural)
10690,acabada,cum; spunk; spooge; cumshot,finished; done for; exhausted (feminine singular)
11230,amazonas,horsewoman (plural),Amazons; female warriors; female riders (plural)
11529,deportistas,sportsperson (plural),athletes; sportspeople (plural)
14878,tiradores,shooter; rifleman (plural),shooters; marksmen (plural)
15224,congresistas,congressperson (plural),members of congress; legislators (plural)
15787,portavoces,spokesman; spokeswoman; spokesperson (plural),spokespeople; spokespersons (plural)
19379,manitas,handyman (plural),handymen; handy people (plural)
19568,cumples,birthday (plural),birthdays
20056,palabrotas,swear; swear word; offensive word (plural),swear words; curse words (plural)
23495,gendarmes,policeperson (plural),gendarmes; police officers (plural)
24321,crucigramas,crossword (plural),crosswords
24877,contraseñas,password (plural),passwords
26145,amazona,horsewoman,Amazon; female warrior; female rider
26893,incrustado,inlayed,embedded; encrusted; inlaid
29279,videntes,seeing person (plural),seers; psychics (plural)
