lemma,count,lemma_original,lemma_normalized,lemma_lemmatized,lemma_translated,translated_flag,translation_source
de,24459038,de,de,dañar,damage,TRUE,dict
que,19102844,que,que,pícaro,[UNTRANSLATED] pícaro,FALSE,untranslated
la,15403031,la,la,krishna,[UNTRANSLATED] krishna,FALSE,untranslated
no,13845008,no,no,nilo,[UNTRANSLATED] nilo,FALSE,untranslated
a,12810585,a,a,a,to (prep.),TRUE,override
el,12100878,el,el,ejercer,exert / wield,TRUE,dict
y,11309024,y,y,winifred,[UNTRANSLATED] winifred,FALSE,untranslated
en,11051605,en,en,empuje,[UNTRANSLATED] empuje,FALSE,untranslated
es,8013166,es,es,errático,[UNTRANSLATED] errático,FALSE,untranslated
un,7265404,un,un,s,[UNTRANSLATED] s,FALSE,untranslated
lo,6908748,lo,lo,lluvioso,rainy,TRUE,dict
por,6016577,por,por,poner,veto / put / dot,TRUE,dict
los,5687850,los,los,lon,[UNTRANSLATED] lon,FALSE,untranslated
una,5193925,una,una,u2,[UNTRANSLATED] u2,FALSE,untranslated
se,5080634,se,se,saudí,saudi / saudi arabian,TRUE,dict
con,4509652,con,con,comunitario,community,TRUE,dict
qué,4351664,qué,qué,quisquilloso,[UNTRANSLATED] quisquilloso,FALSE,untranslated
me,4302080,me,me,mañana,morning / tomorrow,TRUE,dict
para,3894252,para,para,panista,[UNTRANSLATED] panista,FALSE,untranslated
las,3687944,las,las,lara,lara,TRUE,dict
del,3505097,del,del,dejar,allow / give / quit,TRUE,dict
te,3154427,te,te,tardar,take,TRUE,dict
su,3109129,su,su,stef,[UNTRANSLATED] stef,FALSE,untranslated
pero,2819996,pero,pero,permanecer,remain,TRUE,dict
si,2676145,si,si,sharpe,[UNTRANSLATED] sharpe,FALSE,untranslated
está,2627414,está,está,estar,to be (state/location),TRUE,override
mi,2589564,mi,mi,metástasis,metastasis,TRUE,dict
al,2500543,al,al,aki,[UNTRANSLATED] aki,FALSE,untranslated
sí,2459145,sí,sí,swan,[UNTRANSLATED] swan,FALSE,untranslated
como,2404116,como,como,comisaría,commissariat / station,TRUE,dict
bien,2176247,bien,bien,bicicleta,bicycle,TRUE,dict
más,2165223,más,más,mover,move / shift,TRUE,dict
eso,2144243,eso,eso,esférico,spherical,TRUE,dict
yo,2083618,yo,yo,xiang,[UNTRANSLATED] xiang,FALSE,untranslated
le,1845414,le,le,lavanda,lavender,TRUE,dict
aquí,1691911,aquí,aquí,aquã,[UNTRANSLATED] aquã,FALSE,untranslated
tu,1665803,tu,tu,tropical,tropical,TRUE,dict
todo,1544237,todo,todo,titular,holder / headline / entitle,TRUE,dict
ha,1452267,ha,ha,gálvez,gálvez,TRUE,dict
ya,1389442,ya,ya,winnipeg,[UNTRANSLATED] winnipeg,FALSE,untranslated
o,1386256,o,o,nupcial,nuptial,TRUE,dict
esto,1379826,esto,esto,estimulante,stimulating,TRUE,dict
muy,1294788,muy,muy,murray,murray,TRUE,dict
esta,1290741,esta,esta,esquiar,[UNTRANSLATED] esquiar,FALSE,untranslated
ahora,1213835,ahora,ahora,ahogar,drown,TRUE,dict
así,1205977,así,así,asustar,frighten / scare,TRUE,dict
cuando,1188601,cuando,cuando,cualquiera,any / any one / either,TRUE,dict
hay,1179228,hay,hay,haskell,[UNTRANSLATED] haskell,FALSE,untranslated
este,1144392,este,este,estar,to be (state/location),TRUE,override
algo,1125191,algo,algo,alga,seaweed / alga,TRUE,dict
estoy,1122710,estoy,estoy,estirar,pull / strain,TRUE,dict
vamos,1072351,vamos,vamos,valdés,valdés,TRUE,dict
él,1070567,él,él,zumo,juice,TRUE,dict
ser,1052612,ser,ser,sentar,seat / sit / settle,TRUE,dict
bueno,1039956,bueno,bueno,budista,buddhist,TRUE,dict
nos,1021380,nos,nos,noquear,[UNTRANSLATED] noquear,FALSE,untranslated
sus,1011957,sus,sus,suponer,assume / suppose,TRUE,dict
fue,1005240,fue,fue,fruto,fruit,TRUE,dict
tengo,986784,tengo,tengo,temático,thematic,TRUE,dict
era,985658,era,era,equivocar,[UNTRANSLATED] equivocar,FALSE,untranslated
nada,960184,nada,nada,músculo,muscle,TRUE,dict
tiene,954339,tiene,tiene,thea,[UNTRANSLATED] thea,FALSE,untranslated
sé,946793,sé,sé,soltar,drop / release,TRUE,dict
tú,946172,tú,tú,támesis,[UNTRANSLATED] támesis,FALSE,untranslated
cómo,935449,cómo,cómo,coger,see / catch / get,TRUE,dict
vez,930765,vez,vez,versace,[UNTRANSLATED] versace,FALSE,untranslated
estás,929301,estás,estás,estar,to be (state/location),TRUE,override
sólo,912140,sólo,sólo,sacar,pull / remove / take,TRUE,dict
ella,911291,ella,ella,eliminar,delete / eliminate,TRUE,dict
son,903809,son,son,soltero,[UNTRANSLATED] soltero,FALSE,untranslated
hacer,890471,hacer,hacer,haber,to have (aux.)/there is,TRUE,override
he,879341,he,he,haya,[UNTRANSLATED] haya,FALSE,untranslated
porque,870759,porque,porque,poner,veto / put / dot,TRUE,dict
todos,844860,todos,todos,titular,holder / headline / entitle,TRUE,dict
puedo,825278,puedo,puedo,publicista,[UNTRANSLATED] publicista,FALSE,untranslated
quiero,822885,quiero,quiero,querer,to want,TRUE,override
gracias,803297,gracias,gracias,gps,gps,TRUE,dict
puede,792545,puede,puede,publicar,issue / publish,TRUE,dict
dos,784866,dos,dos,dormir,sleep,TRUE,dict
sin,773153,sin,sin,sima,[UNTRANSLATED] sima,FALSE,untranslated
soy,772069,soy,soy,sospechar,suspect,TRUE,dict
sobre,767724,sobre,sobre,sketch,[UNTRANSLATED] sketch,FALSE,untranslated
ese,752181,ese,ese,escáner,scan / scanner,TRUE,dict
estaba,730266,estaba,estaba,esquiar,[UNTRANSLATED] esquiar,FALSE,untranslated
