lemma,rank,translation,english_definition,original_lemma,pos
de,1,of; from,preposition,de,prep
que,2,that; which,common conjunction or relative pronoun,que,pron
la,3,the,feminine singular definite article,ella,art
no,4,no; not,,,
a,5,to; at,,a,none
el,6,the,masculine singular definite article,el,art
y,7,and,conjunction,y,conj
en,8,in; at; on,preposition,en,prep
es,9,is,third person singular present of ser,ser,v
un,10,a; an,masculine singular indefinite article,uno,art
lo,11,it; the,neuter pronoun or neuter article depending on context,él,pron
por,12,by; through; because of; for,preposition used for cause means movement through exchange duration or agent,por,prep
los,13,the,masculine plural definite article,el,art
una,14,a; an,feminine singular indefinite article,uno,art
se,15,oneself; himself; herself; itself; themselves,pronoun,se,pron
con,16,with,preposition,con,prep
qué,17,what; which,interrogative or exclamative pronoun,qué,pron
me,18,me,first person singular object pronoun,yo,pron
para,19,for; to; in order to,preposition used for purpose destination recipient deadline or goal,para,prep
las,20,the,feminine plural definite article,ella,art
del,21,of the; from the,contraction of de plus el,del,contraction
te,22,you,second person singular object pronoun,tú,pron
su,23,his; her; its; their; your,possessive determiner,suyo,determiner
pero,24,but,conjunction,pero,conj
si,25,if; whether,conjunction used for conditions or indirect yes no questions,si,conj
está,26,is,third person singular present of estar,estar,v
mi,27,my,singular possessive determiner,mío,determiner
al,28,to the,contraction of a plus el,al,contraction
sí,29,yes; oneself,adverb of affirmation or reflexive prepositional pronoun,sí,pron
como,30,as; like,conjunction or adverb of comparison,como,conj
bien,31,well-to-do,adverb,bien,adv
más,32,more; most,adverb of quantity or comparison,más,adv
eso,33,that,neuter demonstrative pronoun,ése,pron
yo,34,I,pronoun,yo,pron
le,35,him; her; you,formal pronoun,él,pron
aquí,36,here,adverb,aquí,adv
tu,37,your,informal singular possessive determiner,tuyo,determiner
todo,38,all; every; everything,all or every determiner,todo,determiner
ha,39,has,third person singular present of haber,haber,v
ya,40,already; now,adverb,ya,adv
o,41,or,conjunction,o,conj
esto,42,this,neuter demonstrative pronoun,éste,pron
muy,43,very,adverb,mucho,adv
esta,44,this,demonstrative determiner,este,determiner
ahora,45,now...now; whether...or,adverb,ahora,adv
así,46,like this,adverb,así,adv
cuando,47,when,conjunction or relative adverb,cuando,conj
hay,48,there is; there are,verb,haber,v
este,49,this,demonstrative determiner,este,determiner
algo,50,something; anything,pronoun,algo,pron
estoy,51,am,first person singular present of estar,estar,v
vamos,52,we go; let's go,verb,ir,v
él,53,he; him,third person singular masculine pronoun,él,pron
ser,54,to be,verb,ser,v
bueno,55,good,adjective,bueno,adj
nos,56,us,first person plural object pronoun,nosotros,pron
sus,57,his; her; its; their; your,possessive determiner,suyo,determiner
fue,58,was; went,third person singular preterite of ser or ir,ser,v
tengo,59,have,first person singular present of tener,tener,v
era,60,was,third person singular imperfect of ser,ser,v
nada,61,nothing; zero; zilch; not...anything,pronoun,nada,pron
tiene,62,has,third person singular present of tener,tener,v
sé,63,yes,verb,ser,v
tú,64,you,informal singular subject pronoun,tú,pron
cómo,65,how,interrogative or exclamative adverb,cómo,adv
vez,66,time; instance,noun,vez,n
estás,67,are,second person singular present of estar,estar,v
sólo,68,sole,adverb,solo,adv
ella,69,she; her,pronoun,ella,pron
son,70,are,third person plural present of ser,ser,v
hacer,71,to do,verb,hacer,v
he,72,have,first person singular present of haber,haber,v
porque,73,because,conjunction,porque,conj
todos,74,all; everyone,all or every determiner,todo,determiner
puedo,75,I can,verb,poder,v
quiero,76,I want,verb,querer,v
gracias,77,thanks,noun,gracias,n
puede,78,can; may,verb,poder,v
dos,79,dung; excrement,numeral,dos,num
sin,80,without,preposition,sin,prep
soy,81,am,first person singular present of ser,ser,v
sobre,82,over; above; on; upon; atop,preposition,sobre,prep
ese,83,that,demonstrative determiner,ese,determiner
estaba,84,was,third person singular imperfect of estar,estar,v
también,85,also; too; as well,adverb,también,adv
tiempo,86,time,noun,tiempo,n
tan,87,so; as,adverb,tan,adv
entonces,88,then; next; thereupon; at that time; at that point,adverb,entonces,adv
creo,89,I believe; I think,verb,creer,v
tienes,90,have,second person singular present of tener,tener,v
casa,91,house,noun,casa,n
usted,92,you,formal singular pronoun,usted,pron
esa,93,that,demonstrative determiner,ese,determiner
voy,94,I go,verb,ir,v
sabes,95,you know?,verb,saber,v
eres,96,are,second person singular present of ser,ser,v
verdad,97,truth,noun,verdad,n
hasta,98,until,preposition,hasta,prep
solo,99,sole,adjective,solo,adj
nunca,100,never,adverb,nunca,adv
años,101,years,noun,año,n
hace,102,ago,verb,hacer,v
va,103,goes,verb,ir,v
hola,104,hello; hi; hey,interjection,hola,interj
mucho,105,much; a lot of,much or many determiner,mucho,determiner
quién,106,who,interrogative pronoun,quién,pron
mejor,107,better,adjective,mejor,adj
vida,108,life,noun,vida,n
decir,109,to say; to tell,verb,decir,v
mí,110,me,first person singular prepositional pronoun,mí,pron
dónde,111,where,interrogative or exclamative adverb,dónde,adv
ni,112,neither... nor,conjunction,ni,conj
están,113,are,third person plural present of estar,estar,v
favor,114,favor/favour,noun,favor,n
señor,115,great big,noun,señor,n
hombre,116,man,noun,hombre,n
oh,117,oh,interjection,oh,interj
siempre,118,always,adverb,siempre,adv
ver,119,to see; to spot,verb,ver,v
uno,120,one,numeral,uno,num
quieres,121,you want,verb,querer,v
siento,122,I feel; I'm sorry,verb,sentir,v
había,123,had,third person singular imperfect of haber,haber,v
dios,124,god,proper noun,Dios,prop
has,125,have,second person singular present of haber,haber,v
antes,126,before,adverb,antes,adv
día,127,day,noun,día,n
desde,128,since,preposition,desde,prep
tenemos,129,have,first person plural present of tener,tener,v
poco,130,little; not much,adverb,poco,adv
cosas,131,things,noun,cosa,n
ti,132,you,second person singular prepositional pronoun,tú,pron
otra,133,another; other,other or another determiner,otro,determiner
mismo,134,same,adjective,mismo,adj
han,135,have,third person plural present of haber,haber,v
hecho,136,done; made; fact,noun,hecho,n
alguien,137,someone; somebody,pronoun,alguien,pron
puedes,138,you can,verb,poder,v
ahí,139,there,adverb,ahí,adv
dijo,140,said,verb,decir,v
estar,141,to be,verb,estar,v
entre,142,between,preposition,entre,prep
noche,143,after dark; at night; nocturnally,noun,noche,n
trabajo,144,work; job,noun,trabajo,n
ir,145,to go,verb,ir,v
después,146,later; afterwards; afterward; post,adverb,después,adv
mis,147,my,noun,mi,n
sea,148,be,third person singular present subjunctive of ser,ser,v
acuerdo,149,agreement,noun,acuerdo,n
otro,150,another; other,other or another determiner,otro,determiner
parece,151,seems,verb,parecer,v
donde,152,because,pronoun,donde,pron
ellos,153,they,pronoun,él,pron
estamos,154,are,first person plural present of estar,estar,v
mundo,155,world; earth,noun,mundo,n
gente,156,people,noun,gente,n
nosotros,157,we,pronoun,nosotros,pron
padre,158,Father,noun,padre,n
estado,159,country; land,proper noun,Estado,prop
nadie,160,no one,pronoun,nadie,pron
tal,161,such,pronoun,tal,pron
les,162,them; you,formal plural pronoun,ustedes,pron
parte,163,part,noun,parte,n
sido,164,been,verb form of ser,ser,v
momento,165,moment; instant,noun,momento,n
podría,166,could; might,verb,poder,v
menos,167,less; fewer,adverb,menos,adv
mira,168,target,verb,mirar,v
quiere,169,wants,verb,querer,v
fuera,170,outside,adverb,fuera,adv
