rank,lemma,translation_original,translation_old_latest_pass,translation_new,latest_pass,passes_touched
2,que,that; which;who;than,that; which;who;than,that; which; who; than,4,4
9,es,he is;she is;it is (identity/essence/origin/time),he is;she is;it is (identity/essence/origin/time),he is; she is; it is (identity/essence/origin/time),4,4
26,está,he is;she is; it is (state/location/result),he is;she is; it is (state/location/result),he is; she is; it is (state/location/result),4,4
88,entonces,then; next; thereupon; at that time,then; next; thereupon; at that time,then; so; at that time,3,3
101,años,year (masculine plural),year (masculine plural),years,2,2
102,hace,ago (Note,ago (Note,ago; makes; does,1,1
129,cosas,thing (plural),thing (plural),things,2,2
146,sea,I be;you be;he be;she be;it be;you be(formal) (present subjunctive; identity/essence/origin/time),I be;you be;he be;she be;it be;you be(formal) (present subjunctive; identity/essence/origin/time),I be; you be; he be; she be; it be; you be (formal) (present subjunctive; identity/essence/origin/time),4,4
149,parece,you seem,you seem,seems; appears,5,5
163,momento,moment; instant,moment; instant,moment,7,7
166,mira,target,target,look; look at; he/she looks,1,1
167,quiere,you want,you want,wants; you want (formal),2,2
185,días,day (plural),day (plural),days,2,2
192,sabe,you know,you know,knows,5,5
199,debe,you owe,you owe,must; should; owes,2,2
200,espera,wait,wait,wait; expectation; hope,7,7
222,dije,adorns; locket,adorns; locket,I said,1,1
226,gusta,you taste,likes; pleases,likes; is pleasing to,2,1|2
234,hemos,heme (masculine plural),heme (masculine plural),we have (auxiliary/existence),1,1
235,cuenta,count; tally,count; tally,account; bill; count,7,7
239,otros,other; another (masculine plural),other; another (masculine plural),others; other (masculine plural),8,8
246,primera,first gear,first gear,first,1,1
253,idea,he devises; she devises; it devises,he devises; she devises; it devises,idea,1,1
262,importa,you matter,you matter,matters; is important,1,1
264,personas,person (plural),person (plural),people,2,2
265,policía,polity; police; Civility; public order,polity; police; Civility; public order,police officer; police,1,1
268,cualquier,anyone; whoever; whomever,anyone; whoever; whomever,any; any kind of,1,1
270,ven,they see (affirmative imperative tú),they see (affirmative imperative tú),come (imperative); they see,1,1
271,serio,sober; solemn; serious; earnest,sober; solemn; serious; earnest,serious,3,3
274,nueva,news; novelty,news; novelty,new (feminine singular),1,1
279,hombres,man (plural),man (plural),men,2,2
284,debería,I would owe,I would owe,should; would have to,2,2
288,muchas,much; a lot of (feminine plural),much; a lot of (feminine plural),many; a lot of (feminine plural),8,8
291,amigos,friend (masculine plural),friend (masculine plural),friends,2,2
292,chica,female equivalent of chico: girl (feminine singular),female equivalent of chico: girl (feminine singular),girl,2,2
295,chicos,small (masculine plural),small (masculine plural),boys; guys,2,2
310,importante,important; that cares; that matters,important; that cares; that matters,important,1,1
313,horas,hour (plural),hour (plural),hours,2,2
320,problemas,issue; problem; challenge (plural),issue; problem; challenge (plural),problems; issues; challenges,2,2
327,da,you give,you give,gives,1,1
334,ojos,eye (masculine plural),eye (masculine plural),eyes,2,2
337,general,overall,general; overall,general; overall; common,8,1|8
339,debo,I owe,I owe,I must; I should; I owe,2,2
340,minutos,minute (masculine plural),minute (masculine plural),minutes,2,2
343,manos,hand (masculine plural),hand (masculine plural),hands,2,2
346,muchos,much; a lot of (masculine plural),much; a lot of (masculine plural),many; a lot of (masculine plural),8,8
347,chico,small,small,boy; guy; small,2,2
350,incluso,enclosed; included,enclosed; included,even; including,1,1
362,significa,you signify,you signify,means,1,1
363,jefe,head; chief; president; leader of a business,head; chief; president; leader of a business,boss; chief,7,7
366,otras,other; another (feminine plural),other; another (feminine plural),others; other (feminine plural),8,8
370,mujeres,woman (plural),woman (plural),women,2,2
377,hija,daughter; female equivalent of hijo,daughter; female equivalent of hijo,daughter,2,2
388,deja,rest,rest,leaves; lets,1,1
403,meses,month (plural),month (plural),months,2,2
404,sigue,you follow,you follow,continues; follows,1,1
415,gustaría,I would taste,I would like,would like,2,1|2
420,sentido,heartfelt; deeply felt,heartfelt; deeply felt,sense; meaning,1,1
425,clase,lecture,lecture,class,7,7
428,juego,play,play,game; play,7,7
439,trata,trade; trafficking; slave trade,trade; trafficking; slave trade,deals with; is about; tries,1,1
442,frente,brow; forehead,brow; forehead,front; forehead,3,3
445,llama,flame,flame,calls; flame; llama,1,1
447,toma,taking; capture; conquest; takeover,taking; capture; conquest; takeover,take; taking,3,3
448,necesita,you need,you need,needs,5,5
449,debes,you owe,you owe,you must; you should,2,2
461,escucha,listening,listening,listens; listen,1,1
464,hijos,son (masculine plural),son (masculine plural),sons; children,2,2
470,cree,he creates; she creates; it creates,he creates; she creates; it creates,believes; thinks,2,2
471,cambio,shift; change,shift; change,change,7,7
473,oportunidad,timeliness,timeliness,opportunity,1,1
476,embargo,distraint,distraint,embargo; seizure; however (in sin embargo),2,2
481,habla,speech,speech,speech; speaks,7,7
485,debemos,we owe,we owe,we must; we should,2,2
486,pregunta,question,question,question; asks,7,7
495,padres,father (plural),father (plural),parents; fathers,2,2
505,dólares,dollar (plural),dollar (plural),dollars,2,2
507,hermana,sister; female equivalent of hermano,sister; female equivalent of hermano,sister,2,2
509,dado,a die or dice,a die or dice,given,1,1
513,queda,curfew,curfew,remains; stays,1,1
517,deberías,you would owe,you would owe,you should,2,2
518,sola,one; sole; only; single (feminine singular),one; sole; only; single (feminine singular),alone; on her own,8,8
521,partido,broken,broken,party; match; split,2,2
527,necesitamos,we needed,we needed,we need,1,1
537,haga,I do,I do,do; make (subjunctive/formal imperative),1,1
538,puesto,job; position; employment,job; position; employment,job; position; post,8,8
543,política,politics (feminine singular),politics (feminine singular),politics; policy,8,8
549,plan,scheme,scheme,plan,3,3
551,palabras,word (plural),word (plural),words,2,2
555,chicas,small (feminine plural),small (feminine plural),girls,2,2
561,acerca,he brings close; she brings close; it brings close,he brings close; she brings close; it brings close,about; near,1,1
570,recuerdo,memory,memory,memory; remembrance; I remember,7,7
576,lleva,you take,you take,carries; wears; takes,1,1
580,amo,master,master,I love,7,7
588,peor,comparative degree of malo: worse,comparative degree of malo: worse,worse,2,2
595,oído,hearing,hearing,ear; hearing,7,7
600,control,or running of a business,or running of a business,control,1,1
605,llamado,call,call,called; named,2,2
606,viaje,voyage,voyage,trip; journey,7,7
608,cuarto,fourth,fourth,room; fourth,7,7
616,prueba,proof; evidence,proof; evidence,test; proof; tries,7,7
618,campo,country; countryside,country; countryside,field; countryside,7,7
619,deben,they owe,they owe,must; should; owe,2,2
620,di,I gave (completed past),I gave (completed past),say (imperative); I gave,1,1
623,piensa,you think,you think,thinks,1,1
624,semanas,week (plural),week (plural),weeks,2,2
630,san,holy; godly,holy; godly,Saint,2,2
632,estados,land; country (masculine plural),land; country (masculine plural),states,6,6
633,niña,girl; female equivalent of niño,girl; female equivalent of niño,girl,2,2
634,vista,sight; vision; eyesight,sight; vision; eyesight,view; sight,7,7
637,llamar,to summon,to summon,to call; to name,2,2
645,personal,staff; personnel,staff; personnel,staff; personnel; personal,3,3
646,café,brown,brown,coffee; café,1,1
650,director,conductor,director; manager,director; manager; principal,7,2|7
653,pienso,animal feed,animal feed,I think,1,1
655,acaba,you finish,you finish,finishes; ends; just did,1,1
657,diga,way to say hello on the telephone,way to say hello on the telephone,say; tell (subjunctive/formal imperative),1,1
659,vuelve,you return,you return,returns; comes back,5,5
664,idiota,idiotic,idiotic,idiot,1,1
669,obra,work,work,work; play,7,7
670,asunto,issue; matter; business,issue; matter; business,matter; issue; business,7,7
676,preguntas,question (plural),question (plural),questions,3,3
692,sueño,sleep; slumber,sleep; slumber,sleep; dream,3,3
703,noticias,notice (plural),notice (plural),news,1,1
722,aquel,that; that one over there,that; that one over there,that,5,5
736,suena,you sound,you sound,sounds,1,1
741,trato,treatment,treatment,deal; treatment,7,7
754,tema,plot; theme,plot; theme,topic; theme,2,2
757,sucede,you happen,you happen,happens,1,1
761,siente,he seats; she seats; it seats,he seats; she seats; it seats,feels; is sorry,1,1
768,ocurre,you happen,you happen,happens; occurs,5,5
770,maría,magpie,magpie,María,1,1
779,encuentra,you meet,you meet,finds; meets,5,5
783,existe,you exist,you exist,exists,1,1
790,duda,doubt,doubt,doubt; question,7,7
791,vuelto,change,change,returned; come back,1,1
792,partes,genitalia (plural),genitalia (plural),parts,3,3
800,acabo,synonym of acabamiento,synonym of acabamiento,I just finished; I end,1,1
812,conoce,you know,you know,knows; meets,1,1
813,recuerda,you remember,you remember,remembers,5,5
816,vive,he applauds; she applauds; it applauds,he applauds; she applauds; it applauds,lives,1,1
825,casos,case (masculine plural),case (masculine plural),cases,2,2
828,países,country (plural),country (plural),countries,6,6
833,cámara,room,room,camera; chamber,1,1
841,pruebas,proof; evidence (plural),proof; evidence (plural),tests; proofs; evidence,2,2
848,baja,loss; casualty,loss; casualty,low; drop; casualty,1,1
853,profesor,professor,professor,teacher; professor,11,11
861,haz,do (imperative),do (imperative),do; make (imperative),1,1
862,aquella,that; that one over there,that; that one over there,that,5,5
864,quiera,he desires; she desires; it desires,he desires; she desires; it desires,wants; want (subjunctive),1,1
872,cualquiera,anyone; whoever; whomever,anyone; whoever; whomever,anyone; any; whatever,3,3
878,funciona,you work,you work,works,1,1
888,encanta,you charm,you charm,loves; delights,2,2
889,formas,form; shape; figure (plural),form; shape; figure (plural),forms; ways,6,6
892,adónde,whither; whereto; to where,whither; whereto; to where,where; to where,3,3
895,debido,owed,owed,due; because of; owed,2,2
896,loca,a madwoman; female equivalent of loco,a madwoman; female equivalent of loco,crazy; mad,2,2
898,llega,you arrive,you arrive,arrives,5,5
900,alta,certificate of discharge,certificate of discharge,high; tall,1,1
902,tipos,kind; type; sort; manner (masculine plural),kind; type; sort; manner (masculine plural),kinds; types,6,6
909,placer,to like,to like,pleasure,2,2
912,radio,radius,radio,radio; radio set,7,1|7
913,busca,search,search,looks for; searches for,1,1
920,llamo,I summon,I summon,I call; my name is,1,1
922,entra,you enter,you enter,enters,5,5
926,corte,cut,cut,court; cut,7,7
930,muchacho,boy,boy,boy; young man,2,2
932,peligro,peril; danger,peril; danger,danger,3,3
936,sale,ok,ok,leaves; goes out; turns out,1,1
939,hablas,speech (plural),speech (plural),you speak,7,7
943,pies,foot (plural),foot (plural),feet,2,2
949,entendido,expert,expert,understood,1,1
952,maestro,master,master,teacher; master,7,7
960,caballeros,horseman (masculine plural),horseman (masculine plural),gentlemen,3,3
965,negocios,business; enterprise (masculine plural),business; enterprise (masculine plural),businesses,6,6
966,simple,mere; ordinary,mere; ordinary,simple,1,1
967,eras,age (plural),age (plural),you were,1,1
971,abuela,grandmother; female equivalent of abuelo,grandmother; female equivalent of abuelo,grandmother,2,2
975,llamó,he summoned; she summoned; it summoned (completed past),he summoned; she summoned; it summoned (completed past),called,2,2
977,rato,bit; a while,bit; a while,while; a little while,4,4
978,gustan,they taste,they taste,like; are pleasing to,2,2
982,puntos,point (masculine plural),point (masculine plural),points,6,6
983,relaciones,relation,relation,relations; relationships,6,6
985,aquellos,those over there,those over there,those,5,5
989,condiciones,condition,condition,conditions,6,6
990,muchachos,boy (masculine plural),boy (masculine plural),boys; young men,2,2
997,fuerzas,force (plural),force (plural),forces,6,6
999,fotos,photo; photograph (masculine plural),photo; photograph (masculine plural),photos; photographs,2,2
1004,ninguno,no; none,no; none,none; no one; neither,1,1
1009,tiempos,time (masculine plural),time (masculine plural),times,6,6
1016,libros,book (masculine plural),book (masculine plural),books,2,2
1034,resulta,you result,you result,it turns out; results,1,1
1040,central,headquarter,headquarter,central; main,8,8
1047,miembros,member (masculine plural),member (masculine plural),members,2,2
1048,llevó,he tooked; she tooked; it tooked (completed past),he/she took; carried,took; carried; wore,5,1|5
1051,abre,you open,you open,opens,5,5
1053,muestra,sample; sampling,sample; sampling,sample; display; shows,7,7
1060,tía,uncle (feminine singular),uncle (feminine singular),aunt,1,1
1063,resultados,result; upshot; outcome; finding (masculine plural),result; upshot; outcome; finding (masculine plural),results; outcomes; findings,2,2
1069,misión,quest; mission,quest; mission,mission,3,3
1070,carajo,cock,cock,fuck; hell,5,5
1078,anda,a bier or small platform,a bier or small platform,come on; go on; walk,1,1
1079,santa,saintess; female equivalent of santo,saintess; female equivalent of santo,saint; holy,2,2
1082,militar,to participate actively in a political organization,to participate actively in a political organization,military; soldier,6,6
1083,navidad,Christmas present,Christmas present,Christmas,1,1
1085,drogas,drug (plural),drug (plural),drugs,6,6
1089,metros,meter (masculine plural),meter (masculine plural),metres; meters,6,6
1097,debía,I owed; he owed; she owed; it owed (ongoing habitual/background past),I owed; he owed; she owed; it owed (ongoing habitual/background past),had to; was supposed to; owed,2,2
1102,segundos,second (masculine plural),second (masculine plural),seconds,6,6
1103,temo,I have an obsession,I have an obsession,I fear,1,1
1113,medios,media; mass media as a whole (masculine plural),media; mass media as a whole (masculine plural),means; media,3,3
1115,juro,ownership,ownership,I swear,1,1
1119,servicios,service (masculine plural),service (masculine plural),services,6,6
1120,parís,you give birth (vosotros present indicative),you give birth (vosotros present indicative),Paris,1,1
1121,anterior,former; earlier; previous,former; earlier; previous,previous,6,6
1122,momentos,moment; instant (masculine plural),moment; instant (masculine plural),moments,6,6
1125,vidas,life (plural),life (plural),lives,6,6
1127,bar,pub; café; coffee shop,pub; café; coffee shop,bar; pub,3,3
1129,trabaja,you work,you work,works,5,5
1131,permite,you allow,you allow,allows; permits,5,5
1134,animales,you inspire,you inspire,animals,1,1
1137,pocos,little; not much (masculine plural),little; not much (masculine plural),few; not many (masculine plural),8,8
1145,flores,flower (plural),flower (plural),flowers,2,2
1149,vayas,expresses surprise (plural),expresses surprise (plural),you go (subjunctive),1,1
1152,visita,visit,visit,visit; visitor,7,7
1172,tuya,thuja,thuja,yours,1,1
