lemma,count
of/from,24459038
that/which,19102844
the (fem.),15403031
no,13845008
to (prep.),12810585
the (masc.),12100878
and,11309024
in/on/at,11051605
[UNTRANSLATED] es,8013166
a/an (masc.),7265404
it/him (direct object),6908748
by/for (cause/means),6016577
"the (pl., masc.)",5687850
a/an (fem.),5193925
oneself/himself/herself/itself; reflexive marker,5080634
with,4509652
what,4351664
me,4302080
for (purpose),3894252
"the (pl., fem.)",3687944
of the/from the,3505097
you,3154427
his/her/your/their,3109129
but,2819996
if,2676145
[UNTRANSLATED] está,2627414
my,2589564
to the,2500543
yes,2459145
like/as,2404116
well,2176247
more,2165223
that,2144243
I,2083618
him/her/to him/to her,1845414
here,1691911
your,1665803
everything/all,1544237
[UNTRANSLATED] ha,1452267
already,1389442
or,1386256
this,1379826
very,1294788
this,1290741
now,1213835
like this/so,1205977
when,1188601
there is/there are,1179228
this,1144392
something,1125191
[UNTRANSLATED] estoy,1122710
[UNTRANSLATED] vamos,1072351
he/him,1070567
to be (identity/essence),1052612
good/well,1039956
us,1021380
his/her/your/their,1011957
[UNTRANSLATED] fue,1005240
[UNTRANSLATED] tengo,986784
era,985658
nothing,960184
[UNTRANSLATED] tiene,954339
[UNTRANSLATED] sé,946793
you,946172
how,935449
time/occasion,930765
[UNTRANSLATED] estás,929301
only,912140
she/her,911291
sound,903809
to do/make,890471
[UNTRANSLATED] he,879341
because,870759
everyone/all,844860
[UNTRANSLATED] puedo,825278
[UNTRANSLATED] quiero,822885
thanks,803297
[UNTRANSLATED] puede,792545
two,784866
without,773153
[UNTRANSLATED] soy,772069
about/on,767724
this / that,752181
[UNTRANSLATED] estaba,730266
also,715468
time,687892
so,686387
then/so,685644
[UNTRANSLATED] creo,683937
[UNTRANSLATED] tienes,682238
home / house,672896
you (formal),668917
[UNTRANSLATED] esa,668819
[UNTRANSLATED] voy,662485
[UNTRANSLATED] sabes,647130
[UNTRANSLATED] eres,641438
truth,629489
until/up to,626256
only,622353
never,616936
year,611574
[UNTRANSLATED] hace,609859
[UNTRANSLATED] va,604495
hello,603263
a lot of / a lot,599601
who,596225
good,577793
life,577140
to say/tell,568965
prpers,562903
where,560489
neither / or,555431
[UNTRANSLATED] están,551731
favour,549447
gentleman / lady / lord,542633
man,540236
oh,536659
always,535920
to see,529254
a / some / one,529067
[UNTRANSLATED] quieres,524005
[UNTRANSLATED] siento,521986
[UNTRANSLATED] había,512587
god / goddess,509312
[UNTRANSLATED] has,507560
before,506316
day,506052
from/since,502267
[UNTRANSLATED] tenemos,498611
little / few,489944
thing,484381
prpers,483867
[UNTRANSLATED] otra,482966
same,478580
[UNTRANSLATED] han,478219
fact,474909
anybody / somebody,470767
[UNTRANSLATED] puedes,470464
here,456119
[UNTRANSLATED] dijo,451371
to be (state/location),448651
between/among,448607
night,446359
job / work,441225
to go,439955
afterwards,433246
my,429362
[UNTRANSLATED] sea,421711
agreement,418814
another / other / others,412548
[UNTRANSLATED] parece,410169
where,409601
this,408528
[UNTRANSLATED] estamos,402058
world,399953
person,399821
we/us,398706
parent / father,396287
state,392772
anybody / nobody,389461
such,389345
him/her/to him/to her,380802
part,377788
[UNTRANSLATED] sido,376857
moment,376691
[UNTRANSLATED] podría,369129
less,367335
[UNTRANSLATED] mira,366113
[UNTRANSLATED] quiere,365883
out,365550
big,364639
place,358565
speak,357328
to have/possess,350961
taenia,350059
three,349324
new,347157
raisin,339032
[UNTRANSLATED] vas,336124
each,334232
claro / clear / light,331173
money,330904
mother,325343
morning / tomorrow,324759
mr.,321637
type,318946
today,318874
day,318147
afterwards,316333
there,313986
woman,311563
our / ours,310353
so much / so many,308198
thing,305321
[UNTRANSLATED] sabe,305253
[UNTRANSLATED] todas,302663
to do/make,298899
child / daughter / son,298154
[UNTRANSLATED] dice,297048
insurance / safe / sure,296087
[UNTRANSLATED] podemos,294383
[UNTRANSLATED] debe,292452
wait,289591
okay / voucher,288283
[UNTRANSLATED] será,287967
this,285915
[UNTRANSLATED] toda,283994
to have (aux.)/there is,283752
your,283696
friend / fellow,277532
[UNTRANSLATED] nuestra,273824
[UNTRANSLATED] buena,272089
still/yet,269890
who,269688
this,267930
name,264690
[UNTRANSLATED] tienen,264360
[UNTRANSLATED] veces,262197
mum / momma / mamma,258225
evil / bad / badly,255988
good,255558
durante / during,252007
dad,251063
[UNTRANSLATED] quería,249429
[UNTRANSLATED] dije,249282
some (masc.),249272
past,249247
form,247915
[UNTRANSLATED] gusta,246115
[UNTRANSLATED] hizo,245925
case,245252
against,240888
afternoon / late / evening,240846
[UNTRANSLATED] necesito,240791
[UNTRANSLATED] oye,239741
[UNTRANSLATED] alguna,238669
[UNTRANSLATED] hemos,236016
account,235082
[UNTRANSLATED] visto,234626
with me,233733
while / meanwhile,233013
another / other / others,231669
really,231221
hour / time,230432
problem,230258
[UNTRANSLATED] crees,229737
year,229700
reason,229371
[UNTRANSLATED] primera,228538
some / true,227632
to know (a fact),227254
[UNTRANSLATED] dicho,225969
[UNTRANSLATED] hacerlo,225440
shit,224926
as / then,223512
idea,222982
my / mine,220959
and,220351
although,220211
family,215124
to,215122
love / amour,214016
that,212421
[UNTRANSLATED] pueden,212072
[UNTRANSLATED] importa,211642
still / yet,208416
person,207355
police / policeman,207069
almost,206579
with you,206465
any,206307
too many / too much / too,205046
[UNTRANSLATED] ven,203236
serious,202946
[UNTRANSLATED] algún,199354
[UNTRANSLATED] ve,198486
[UNTRANSLATED] nueva,197917
[UNTRANSLATED] eh,196607
side,196477
way,195856
head,195520
man,194191
history / story,193715
inside,190519
[UNTRANSLATED] sería,188040
comeout / exit / goout,188038
