rank,lemma,original_lemma,old_translation,new_translation,translation_changed,review_reason,past_relation,past_tense,past_person,past_number,past_context,past_confidence,past_reason,tags
58,fue,ir,he was;she was;it was; he went; she went; it went,he was; she was; it was; he went; she went; it went (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,manual_ser_ir_preterite,3rd_person|singular|preterite|ser|past|third
84,estaba,estar,I was; she was;he was (state/location/result),I was; he was; she was; it was (state/location/result; ongoing habitual/background past),yes,rewritten_manual_be,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,3rd_person|singular|imperfect|estar|past|singular_ambiguous
121,había,haber,there was; there were; used to be (auxiliary/existence),there was; there were; used to be (auxiliary/existence; ongoing habitual/background past),yes,existential_translation_kept,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,3rd_person|singular|imperfect|haber|past|singular_ambiguous
138,dijo,decir,he said; she said; it said,he said; she said; it said (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_j_stem_preterite,past|preterite|third|singular
146,sea,ser,I be;you be;he be;she be;it be;you be(formal) (present subjunctive; identity/essence/origin/time),I be;you be;he be;she be;it be;you be(formal) (present subjunctive; identity/essence/origin/time),no,blocked_by_existing_mood_tag,,,,,,,,3rd_person|singular|present_subjunctive|ser|subjunctive|present|singular_ambiguous
152,estamos,estar,are (state/location/result),are (state/location/result),no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,1st_person|plural|present|estar|past|preterite|first
173,tenía,tener,had (possession/age/state/obligation),I had; he had; she had; it had (possession/age/state/obligation; ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,3rd_person|singular|imperfect|tener|past|singular_ambiguous
221,quería,querer,I desired,I wanted; he wanted; she wanted; it wanted (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
227,hizo,hacer,he did; she did; it did,he did; she did; it did; he made; she made; it made (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_hacer_preterite,past|preterite|third|singular
270,ven,venir,they see (affirmative imperative tú),they see (affirmative imperative tú),no,blocked_by_existing_mood_tag,,,,,,,,tú|2nd_person|singular|imperative|affirmative
294,sabía,saber,I knew,I knew; he knew; she knew; it knew (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
307,iba,ir,I went,I went; he went; she went; it went (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,manual_ir_imperfect,past|imperfect|singular_ambiguous
317,pensé,pensar,I thought,I thought (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
322,pasó,pasar,he passed; she passed; it passed,he passed; she passed; it passed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
349,hice,hacer,I did,I did; I made (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_hacer_preterite,past|preterite|first|singular
357,fueron,ir,were; went (ser/ir),they were; they went (ser/ir; completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,manual_ser_ir_preterite,3rd_person|plural|preterite|ser|past|third
395,eran,ser,they were (identity/essence/origin/time),they were (identity/essence/origin/time; ongoing habitual/background past),yes,rewritten_manual_be,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,manual_ser_imperfect,3rd_person|plural|imperfect|ser|past|third
396,haya,haber,I have; he has; she has; there is; there are (present subjunctive; auxiliary/existence),I have; he has; she has; there is; there are (present subjunctive; auxiliary/existence),no,blocked_by_existing_mood_tag,,,,,,,,3rd_person|singular|present_subjunctive|haber|subjunctive|present|singular_ambiguous
397,hubiera,haber,I had; he had; she had; there was; there were (past subjunctive; auxiliary/existence),I had; he had; she had; there was; there were (past subjunctive; auxiliary/existence),no,blocked_by_existing_mood_tag,,,,,,,,3rd_person|singular|imperfect_subjunctive|haber|subjunctive|imperfect_ra|singular_ambiguous
406,podía,poder,I was able to,I could; he could; she could; it could (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
411,vi,ver,I saw,I saw (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_ver_preterite,past|preterite|first|singular
438,dijiste,decir,you said,you said (completed past),yes,manual_english_past_override,past_tense_detected,preterite,second,singular,completed past,high,manual_j_stem_preterite,past|preterite|second|singular
470,cree,crear,he creates; she creates; it creates,he creates; she creates; it creates,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|singular_ambiguous
474,fui,ir,I went,I went (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,manual_ser_ir_preterite,past|preterite|first|singular
