word_count,lemma,sentence,english_sentence
20,hayan,No desembarcar ningún pescado que se conserve a bordo hasta que las autoridades nacionales competentes hayan dado el correspondiente permiso.,Do not land any fish that is retained on board until the competent national authorities have given the relevant permit.
20,llevando,Creo que eso es lo que usted cree que está llevando a cabo no lo que no lleva a cabo.,"I think that's what you think you're doing, not what you're not doing."
20,salgan,Entonces estaré mirándolos a uno y cada uno de ustedes muchachos así que salgan allí afuera y demuéstrenles quien manda.,"Then I'll be looking at one and every one of you guys, so go out there and show them who's in charge."
20,ricas,Puse en ejecución inmediatamente mi proyecto y después de proveerme de ricas mercancías del país partí de bagdad para bassra.,I immediately implemented my project and after supplying me with rich goods from the country I started bagdad for bassra.
20,ganaba,El acuerdo era que si yo ganaba los juegos de hambre podria vivir el resto de mi vida en paz.,"The deal was that if I won the hunger games, I could live the rest of my life in peace."
20,papás,Josh y yo podríamos ya estar casados y seríamos papás de una bebita preciosa que seguramente tendría nombre de fruta.,"Josh and I could be married by now, and we'd be dads to a beautiful baby girl who'd probably have a fruit name."
20,explican,Algunos informes no facilitan datos suficientes sobre la cuestión mientras que en otros se explican detalladamente las diversas medidas adoptadas.,"Some reports do not provide sufficient data on the issue, while others elaborate on the various measures taken."
20,elegimos,Compromiso episodio elegimos vivir junto a ana maría campoy ricardo darín susú pecoraro marcos zucker y leonor manso entre otros.,Compromise episode we chose to live with ana maria campo and ricordo darín susú pecoraro marcos zucker and leonor meso among others.
20,reglamentos,Las políticas de la calidad son definidas por el reglamento cee n del consejo modificado por los reglamentos ce nos.,Quality policies are defined by the Council Regulation amended by the Regulations.
20,comprará,Le informo que mi jefe con gusto le comprará esta casa vieja y por el doble de la oferta anterior.,I inform you that my boss will gladly buy you this old house and twice the previous offer.
20,aumentará,Por consiguiente aumentará la actividad delictiva al nivel nacional que no exige transferencias bancarias como medio de captar fondos terroristas.,"Therefore, criminal activity will increase at the national level that does not require bank transfers as a means of capturing terrorist funds."
20,federaciones,Las federaciones de pymess han de fomentar la cooperación horizontal y vertical de las empresas en las cadenas de producción.,The SME federations should encourage horizontal and vertical cooperation between companies in the production chains.
