rank,lemma,translation_original,translation_pass4
2,que,that; which;who;than,that; which; who; than
9,es,he is;she is;it is (identity/essence/origin/time),he is; she is; it is (identity/essence/origin/time)
26,está,he is;she is; it is (state/location/result),he is; she is; it is (state/location/result)
88,entonces,then; next; thereupon; at that time,then; so; at that time
101,años,year (masculine plural),years
102,hace,ago (Note,ago; makes; does
129,cosas,thing (plural),things
146,sea,I be;you be;he be;she be;it be;you be(formal) (present subjunctive; identity/essence/origin/time),I be; you be; he be; she be; it be; you be (formal) (present subjunctive; identity/essence/origin/time)
166,mira,target,look; look at; he/she looks
167,quiere,you want,wants; you want (formal)
185,días,day (plural),days
199,debe,you owe,must; should; owes
222,dije,adorns; locket,I said
226,gusta,you taste,likes; is pleasing to
234,hemos,heme (masculine plural),we have (auxiliary/existence)
246,primera,first gear,first
253,idea,he devises; she devises; it devises,idea
262,importa,you matter,matters; is important
264,personas,person (plural),people
265,policía,polity; police; Civility; public order,police officer; police
268,cualquier,anyone; whoever; whomever,any; any kind of
270,ven,they see (affirmative imperative tú),come (imperative); they see
271,serio,sober; solemn; serious; earnest,serious
274,nueva,news; novelty,new (feminine singular)
279,hombres,man (plural),men
284,debería,I would owe,should; would have to
291,amigos,friend (masculine plural),friends
292,chica,female equivalent of chico: girl (feminine singular),girl
295,chicos,small (masculine plural),boys; guys
310,importante,important; that cares; that matters,important
313,horas,hour (plural),hours
320,problemas,issue; problem; challenge (plural),problems; issues; challenges
327,da,you give,gives
334,ojos,eye (masculine plural),eyes
337,general,overall,general; overall
339,debo,I owe,I must; I should; I owe
340,minutos,minute (masculine plural),minutes
343,manos,hand (masculine plural),hands
347,chico,small,boy; guy; small
350,incluso,enclosed; included,even; including
362,significa,you signify,means
370,mujeres,woman (plural),women
377,hija,daughter; female equivalent of hijo,daughter
388,deja,rest,leaves; lets
403,meses,month (plural),months
404,sigue,you follow,continues; follows
415,gustaría,I would taste,would like
420,sentido,heartfelt; deeply felt,sense; meaning
439,trata,trade; trafficking; slave trade,deals with; is about; tries
442,frente,brow; forehead,front; forehead
445,llama,flame,calls; flame; llama
447,toma,taking; capture; conquest; takeover,take; taking
449,debes,you owe,you must; you should
461,escucha,listening,listens; listen
464,hijos,son (masculine plural),sons; children
470,cree,he creates; she creates; it creates,believes; thinks
473,oportunidad,timeliness,opportunity
476,embargo,distraint,embargo; seizure; however (in sin embargo)
485,debemos,we owe,we must; we should
495,padres,father (plural),parents; fathers
505,dólares,dollar (plural),dollars
507,hermana,sister; female equivalent of hermano,sister
509,dado,a die or dice,given
513,queda,curfew,remains; stays
517,deberías,you would owe,you should
521,partido,broken,party; match; split
527,necesitamos,we needed,we need
537,haga,I do,do; make (subjunctive/formal imperative)
549,plan,scheme,plan
551,palabras,word (plural),words
555,chicas,small (feminine plural),girls
561,acerca,he brings close; she brings close; it brings close,about; near
576,lleva,you take,carries; wears; takes
588,peor,comparative degree of malo: worse,worse
600,control,or running of a business,control
605,llamado,call,called; named
619,deben,they owe,must; should; owe
620,di,I gave (completed past),say (imperative); I gave
623,piensa,you think,thinks
624,semanas,week (plural),weeks
630,san,holy; godly,Saint
633,niña,girl; female equivalent of niño,girl
637,llamar,to summon,to call; to name
645,personal,staff; personnel,staff; personnel; personal
646,café,brown,coffee; café
650,director,conductor,director; manager
653,pienso,animal feed,I think
655,acaba,you finish,finishes; ends; just did
657,diga,way to say hello on the telephone,say; tell (subjunctive/formal imperative)
664,idiota,idiotic,idiot
676,preguntas,question (plural),questions
692,sueño,sleep; slumber,sleep; dream
703,noticias,notice (plural),news
736,suena,you sound,sounds
754,tema,plot; theme,topic; theme
757,sucede,you happen,happens
761,siente,he seats; she seats; it seats,feels; is sorry
770,maría,magpie,María
783,existe,you exist,exists
791,vuelto,change,returned; come back
792,partes,genitalia (plural),parts
800,acabo,synonym of acabamiento,I just finished; I end
812,conoce,you know,knows; meets
816,vive,he applauds; she applauds; it applauds,lives
825,casos,case (masculine plural),cases
833,cámara,room,camera; chamber
841,pruebas,proof; evidence (plural),tests; proofs; evidence
848,baja,loss; casualty,low; drop; casualty
861,haz,do (imperative),do; make (imperative)
864,quiera,he desires; she desires; it desires,wants; want (subjunctive)
872,cualquiera,anyone; whoever; whomever,anyone; any; whatever
878,funciona,you work,works
888,encanta,you charm,loves; delights
892,adónde,whither; whereto; to where,where; to where
895,debido,owed,due; because of; owed
896,loca,a madwoman; female equivalent of loco,crazy; mad
900,alta,certificate of discharge,high; tall
909,placer,to like,pleasure
912,radio,radius,radio
913,busca,search,looks for; searches for
920,llamo,I summon,I call; my name is
930,muchacho,boy,boy; young man
932,peligro,peril; danger,danger
936,sale,ok,leaves; goes out; turns out
943,pies,foot (plural),feet
949,entendido,expert,understood
960,caballeros,horseman (masculine plural),gentlemen
966,simple,mere; ordinary,simple
967,eras,age (plural),you were
971,abuela,grandmother; female equivalent of abuelo,grandmother
975,llamó,he summoned; she summoned; it summoned (completed past),called
977,rato,bit; a while,while; a little while
978,gustan,they taste,like; are pleasing to
990,muchachos,boy (masculine plural),boys; young men
999,fotos,photo; photograph (masculine plural),photos; photographs
1004,ninguno,no; none,none; no one; neither
1016,libros,book (masculine plural),books
1034,resulta,you result,it turns out; results
1047,miembros,member (masculine plural),members
1048,llevó,he tooked; she tooked; it tooked (completed past),he/she took; carried
1060,tía,uncle (feminine singular),aunt
1063,resultados,result; upshot; outcome; finding (masculine plural),results; outcomes; findings
1069,misión,quest; mission,mission
1078,anda,a bier or small platform,come on; go on; walk
