rank,lemma,original_lemma,old_translation,new_translation,translation_changed,review_reason,pronoun_attachment_relation,pronoun_attachment_form,pronoun_attachment_type,pronoun_attachment_pronouns,pronoun_attachment_count,pronoun_attachment_confidence,pronoun_attachment_reason,pronoun_attachment_semantic_class
250,hacerlo,hacer,to do,to do it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
462,déjame,dejar,I leave,leave me,yes,translation_changed,attached_pronoun_form,imperative,direct_object,me,1,high,manual_imperative_match,transparent_object
654,verte,ver,to see,to see you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
768,decirle,decir,to say,to say to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
785,darle,dar,to give,to give to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
858,verlo,ver,to see,to see it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
859,decirte,decir,to say,to say to you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
997,quédate,quedar,you are,stay,yes,translation_changed,attached_pronoun_form,imperative,pronominal,te,1,high,manual_pronominal_match,pronominal_lexical
1052,decirme,decir,to say,to say to me,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
1113,siéntate,sentar,you seat,sit down,yes,translation_changed,attached_pronoun_form,imperative,reflexive,te,1,high,manual_imperative_match,reflexive_lexical
1146,saberlo,saber,to know,to know it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
1213,hazlo,hacer,you do,do it (masculine),yes,translation_changed,attached_pronoun_form,imperative,direct_object,lo,1,high,safe_direct_match,transparent_object
1314,ayudarte,ayudar,to help,to help you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
1389,decirlo,decir,to say,to say it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
1412,darme,dar,to give,to give to me,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
1425,verla,ver,to see,to see it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
1428,escúchame,escuchar,I listen to,listen to me,yes,translation_changed,attached_pronoun_form,imperative,direct_object,me,1,high,safe_direct_match,transparent_object
1452,hacerle,hacer,to do,to do to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
1487,darte,dar,to give,to give to you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
1496,hacerte,hacer,to do,to do you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
1571,quedarse,quedar,to be,to stay,yes,translation_changed,attached_pronoun_form,infinitive,pronominal,se,1,high,manual_pronominal_match,pronominal_lexical
1572,quedarme,quedar,to be,to stay,yes,translation_changed,attached_pronoun_form,infinitive,pronominal,me,1,high,manual_pronominal_match,pronominal_lexical
1583,haberlo,haber,to have,to have it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
1655,hacerme,hacer,to do,to do me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
1681,ayudarme,ayudar,to help,to help me,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
1712,déjalo,dejar,you leave,leave it (masculine),yes,translation_changed,attached_pronoun_form,imperative,direct_object,lo,1,high,safe_direct_match,transparent_object
1836,ayúdame,ayudar,I help,help me,yes,translation_changed,attached_pronoun_form,imperative,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
1864,hacerse,hacer,to do,to do,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
1893,cálmate,calmar,you calm,calm you,yes,translation_changed,attached_pronoun_form,imperative,direct_object,te,1,high,safe_direct_match,transparent_object
2006,dejarlo,dejar,to leave,to leave it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
2007,mírame,mirar,I look at,look at me,yes,translation_changed,attached_pronoun_form,imperative,direct_object,me,1,high,safe_direct_match,transparent_object
2016,quedarte,quedar,to be,to stay,yes,translation_changed,attached_pronoun_form,infinitive,pronominal,te,1,high,manual_pronominal_match,pronominal_lexical
2050,haberte,haber,to have,to have you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
2091,conocerte,conocer,to know,to know you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
2270,creerlo,creer,to believe,to believe it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
2297,llámame,llamar,I summon,be called,yes,translation_changed,attached_pronoun_form,imperative,pronominal,me,1,high,manual_pronominal_match,pronominal_lexical
2393,intentarlo,intentar,to try,to try it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
2397,matarme,matar,to kill,to kill me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
2440,haberme,haber,to have,to have me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
2450,casarse,casar,to marry,to marry,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
2526,ponerse,poner,to put,to put on,yes,translation_changed,attached_pronoun_form,infinitive,reflexive,se,1,high,manual_reflexive_match,reflexive_lexical
2583,verle,ver,to see,to see to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
2650,decirles,decir,to say,to say to them,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,les,1,high,safe_indirect_match,transparent_indirect
2672,haberse,haber,to have,to have,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
2697,convertirse,convertir,to convert,to convert,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
2802,serlo,ser,to be,to be it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
2839,preguntarle,preguntar,to ask,to ask him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
2860,dejarme,dejar,to leave,to leave me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
2866,ayudarle,ayudar,to help,to help him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
2894,pedirle,pedir,to ask for something,to ask him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
2948,darse,dar,to give,to give,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
2976,llevarte,llevar,to take,to take you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
3003,matarlo,matar,to kill,to kill it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
3008,encontrarlo,encontrar,to meet,to meet it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
3056,preguntarte,preguntar,to ask,to ask you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
