lemma,sentence,english_sentence
hayan,No desembarcar ningún pescado que se conserve a bordo hasta que las autoridades nacionales competentes hayan dado el correspondiente permiso.,Do not land any fish that is retained on board until the competent national authorities have given the relevant permit.
llevando,Creo que eso es lo que usted cree que está llevando a cabo no lo que no lleva a cabo.,"I think that's what you think you're doing, not what you're not doing."
salgan,Entonces estaré mirándolos a uno y cada uno de ustedes muchachos así que salgan allí afuera y demuéstrenles quien manda.,"Then I'll be looking at one and every one of you guys, so go out there and show them who's in charge."
ricas,Puse en ejecución inmediatamente mi proyecto y después de proveerme de ricas mercancías del país partí de bagdad para bassra.,I immediately implemented my project and after supplying me with rich goods from the country I started bagdad for bassra.
ganaba,El acuerdo era que si yo ganaba los juegos de hambre podria vivir el resto de mi vida en paz.,"The deal was that if I won the hunger games, I could live the rest of my life in peace."
papás,Josh y yo podríamos ya estar casados y seríamos papás de una bebita preciosa que seguramente tendría nombre de fruta.,"Josh and I could be married by now, and we'd be dads to a beautiful baby girl who'd probably have a fruit name."
explican,Algunos informes no facilitan datos suficientes sobre la cuestión mientras que en otros se explican detalladamente las diversas medidas adoptadas.,"Some reports do not provide sufficient data on the issue, while others elaborate on the various measures taken."
elegimos,Compromiso episodio elegimos vivir junto a ana maría campoy ricardo darín susú pecoraro marcos zucker y leonor manso entre otros.,Compromise episode we chose to live with ana maria campo and ricordo darín susú pecoraro marcos zucker and leonor meso among others.
reglamentos,Las políticas de la calidad son definidas por el reglamento cee n del consejo modificado por los reglamentos ce nos.,Quality policies are defined by the Council Regulation amended by the Regulations.
comprará,Le informo que mi jefe con gusto le comprará esta casa vieja y por el doble de la oferta anterior.,I inform you that my boss will gladly buy you this old house and twice the previous offer.
aumentará,Por consiguiente aumentará la actividad delictiva al nivel nacional que no exige transferencias bancarias como medio de captar fondos terroristas.,"Therefore, criminal activity will increase at the national level that does not require bank transfers as a means of capturing terrorist funds."
federaciones,Las federaciones de pymess han de fomentar la cooperación horizontal y vertical de las empresas en las cadenas de producción.,The SME federations should encourage horizontal and vertical cooperation between companies in the production chains.
expresaba,No soy político soy un servidor público así se expresaba don efraín cuando se le preguntaba por su carrera política.,I'm not a politician. I'm a public servant. That's how Don Efraín expressed himself when he was asked about his political career.
facilitan,Las redes sociales en general y facebook en particular facilitan el intercambio de información interacción y colaboración entre los usuarios.,Social networks in general and facebook in particular facilitate the exchange of information interaction and collaboration between users.
contestan,Normalmente se contestan las preguntas complementarias precisamente en este momento se acaba de contestar una pregunta complementaria de la pregunta.,"The supplementary questions are usually answered precisely at this moment, a supplementary question to the question has just been answered."
practicaba,Sr rowe estaba usted al tanto de que su amante practicaba el modo de sadomasoquismo con cuerdas japonés llamado shibari.,Mr. Rowe was aware that his lover was practicing the Japanese stringed sadomasochism called shibari.
inusuales,Tú y tu hermana comparten algunos rasgos de personalidad inusuales que podrían ser vistos como fuera de la norma social.,You and your sister share some unusual personality traits that could be viewed as outside the social norm.
contempló,Y al concluir de leer la carta se incorporó antonio contempló al viejo que le miraba irónica y afectuosamente y.,And at the end of reading the letter he incorporated antonio looked at the old man who looked at him ironically and affectionately and.
disputará,Daniel juncadella el español disputará su primera carrera en el dtm con mercedes tras haber participado en la fórmula euroseries.,Daniel juncadella the Spanish will play his first race in the dtm with mercedes after having participated in the formula euroseries.
ces,Ces dictamen sobre la acción comunitaria en el sector del turismo comunicación de la comisión al consejo doc com final.,Ces Opinion on Community action in the tourism sector Communication from the Commission to the Council Doc.
fijando,Que os vais señor exclamó hormesinda fijando en alfonso su mirada dulcemente serena y resignada como la de un mártir.,That you leave sir exclaimed hormesinda by fixing in alfonso his gaze sweetly serene and resigned as that of a martyr.
dependemos,Hemos comenzado una auditoría global de todas las posiciones y los movimientos pero dependemos de la cooperación de las partes.,"We have begun a comprehensive audit of all positions and movements, but we depend on the cooperation of the parties."
fijará,Si el estado miembro ponente requiere información adicional fijará un plazo de tiempo para que el solicitante se la remita.,"If the rapporteur Member State requires additional information, it shall set a time limit for the applicant to forward it to it."
preparará,La secretaría en consulta con la mesa del grupo de expertos preparará un programa provisional para cada reunión del grupo.,"The secretariat, in consultation with the bureau of the expert group, shall prepare a provisional agenda for each meeting of the group."
estimaba,A mediados de la década de los setenta se estimaba que aproximadamente millones de personas vivían en condiciones de pobreza.,"In the mid-1970s, it was estimated that approximately millions of people lived in poverty."
tribunas,José antonio garcía hernández notas sobre la decoración de los órganos y tribunas del coro de la catedral de sevilla.,José antonio garcía hernández notes on the decoration of the organs and tribunes of the choir of the cathedral of Seville.
identificando,Utiliza la mecánica de elaboración de un formulario de comparación de ofertas identificando el contenido habitual de filas y columnas.,Use the mechanics of making a comparison form by identifying the usual content of rows and columns.
confirmaba,Del mismo modo el crédito al sector privado continuó expandiéndose con rapidez lo que confirmaba que la liquidez era abundante.,"Similarly, credit to the private sector continued to expand rapidly, confirming that liquidity was abundant."
cansar,Así que si tratas de ir con ellas ola a ola te vas a cansar mucho con todo ese braceo.,So if you try to go with them wave to wave you'll get very tired with all that bracing.
densidades,En otras ocasiones la visualización de densidades cálcicas en áreas renoureterales permitirá el diagnóstico de litiasis en el árbol urinario.,On other occasions the visualization of calcium densities in renoureteral areas will allow the diagnosis of lithiasis in the urinary tree.
maquinarias,Hacer desaparecer inutilizar o causar desperfectos en materiales útiles herramientas maquinarias aparatos instalaciones edificios enseres y documentos de la empresa.,Make disappear disable or cause damage in materials useful tools machinery apparatus buildings installations goods and documents of the company.
musitó,Encarna musitó y se echó a llorar definitivamente como si hubiera asumido de repente estar perdido en una ciudad sumergida.,Encarna mused and cried definitively as if she had suddenly assumed to be lost in a submerged city.
destinó,En el gobierno destinó un presupuesto de millones de won para los centros de trabajadores migrantes dirigidos por personal civil.,"In the government, it allocated a budget of millions of won to migrant workers' centres run by civilian personnel."
tés,Ya me he tomado dos tés y una taza de fideos en ella así que ahora la siento como mía.,I've already had two teas and a cup of noodles in it so now I feel like mine.
recaudaciones,De las recaudaciones obtenidas de los de dudores morosos en la medida en que el fondo haya intervenido en garantía.,Of the receipts obtained from those of the defaulting debtors in so far as the fund has intervened as collateral.
libran,En los últimos decenios las víctimas de las guerras que se libran en distintas partes del mundo son predominantemente civiles.,"In recent decades, the victims of wars in different parts of the world are predominantly civilians."
pronuncian,Janie y yo lo cogimos en españa en galicia en realidad o tal y como los lugareños lo pronuncian galicia.,Janie and I caught it in spain in gale in reality or as locals pronounce it gale.
legó,Todos sabemos que cuando murió el padre de ptolemeo y cleopatra les legó a los dos el reinado de egipto.,"We all know that when the father of Ptolemy and Cleopatra died, he bequeathed to both of them the reign of Egypt."
vine,Me dijeron que la srta welles tenía un amorío y vine aquí porque pensé que usted quizás sabía algo.,I was told that Miss Welles had an affair and I came here because I thought you might know something.
hagan,Esperamos que todas las partes hagan todo lo posible por asegurar que los perpetradores sean llevados ante la justicia.,We hope that all parties will do their utmost to ensure that the perpetrators are brought to justice.
ciertos,Se caracterizaron por ciertos elementos estilísticos diferentes al resto de los grupos de la época armonías vocales sonido pop.,They were characterized by certain stylistic elements different from the rest of the groups of the time vocal harmonies pop sound.
presentan,Las reclamaciones de discriminación en el empleo también se presentan a veces a la unión nacional de mujeres eritreas.,Complaints of discrimination in employment are also sometimes submitted to the National Union of Eritrean Women.
