row_number,column,value
208,definitions,Vocativo usado para tratar condescendientemente a alguien mientras se le señala la realidad de un hecho o la opinión propia.^([cita requerida])
208,english_definition,A speaker used to patronize someone while being pointed out to him the reality of a fact or his own opinion.^([required quote])
292,definitions,Vocativo usado para tratar condescendientemente a alguien mientras se le señala la realidad de un hecho o la opinión propia.^([cita requerida])
292,english_definition,A speaker used to patronize someone while being pointed out to him the reality of a fact or his own opinion.^([required quote])
345,definitions,Profesor que asistía a los ejercicios públicos de algún alumno desde la cátedra. ^([cita requerida])
345,english_definition,Teacher attending public exercises of a student from the chair. ^([required quote])
429,definitions,"Etapa del juego, que es una subdivisión del [set], a la que se llega habiendo ganado cuatro pelotas y teniendo dos de ventaja en ese total: 15, 30, 40 y juego."
429,english_definition,"Stage of the game, which is a subdivision of the [set], which is reached having won four balls and having two advantage in that total: 15, 30, 40 and game."
1378,definitions,Cuadro que representa una [1].
1378,english_definition,Table representing one [1].
1479,definitions,Crujido que se produce al estirar la articulación de los huesos ^([cita requerida]).
1479,english_definition,Crushed that occurs when stretching the joint of bones ^([required quote]).
1617,definitions,"Etapa del juego, que es una subdivisión del [set], a la que se llega habiendo ganado cuatro pelotas y teniendo dos de ventaja en ese total: 15, 30, 40 y juego."
1617,english_definition,"Stage of the game, which is a subdivision of the [set], which is reached having won four balls and having two advantage in that total: 15, 30, 40 and game."
1951,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
1951,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
2558,definitions,Crujido que se produce al estirar la articulación de los huesos ^([cita requerida]).
2558,english_definition,Crushed that occurs when stretching the joint of bones ^([required quote]).
3104,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
3104,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
3568,translation,tired; fed up; fed up [with de]
3686,definitions,"En el ritual católico, ceremonia de las incensaciones y aspersiones de agua bendita que se hace sobre los cadáveres en los funerales y en el acto del entierro, como también en los aniversarios, sobre el túmulo que se levanta en memoria del difunto, recitando entre tanto las oraciones que marca el ritual. ^([cita requerida])."
3686,english_definition,"In the Catholic ritual, the ceremony of the burnings and sprinkles of holy water is done on the corpses at funerals and in the act of burial, as well as on the anniversaries, on the tumule that rises in memory of the deceased, reciting in the meantime the prayers that mark the ritual. ^([required quote])."
3810,definitions,Compasión o clemencia que uno puede tener hacia algo o alguien. ^([cita requerida])
3810,english_definition,Compassion or clemency that one may have toward something or someone. ^([required quote])
4947,definitions,"Una llamada de bugle o sonido de redoblantes, señalando la bajada de la bandera del asta en el atardecer, como en una base militar^([cita requerida])."
4947,english_definition,"A bugle call or a redoubling sound, pointing to the downing of the flagpole at sunset, as in a military base^([required quote])."
5318,translation,tired; fed up; fed up [with de]
6339,definitions,Profesor que asistía a los ejercicios públicos de algún alumno desde la cátedra. ^([cita requerida])
6339,english_definition,Teacher attending public exercises of a student from the chair. ^([required quote])
7002,definitions,Cuadro que representa una [1].
7002,english_definition,Table representing one [1].
7607,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
7607,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
7641,definitions,Persona argentina.^([cita requerida]).
7641,english_definition,Argentine person.^([required quote]).
7793,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
7793,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
8234,definitions,Que tiene afición por el comercio o habilidad para realizarlo.^([cita requerida]).
8234,english_definition,Who has a hobby for trade or ability to do so.^([citation required]).
8449,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
8449,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
8651,translation,to hurt; to hurt [ with dative]
9005,definitions,conjunto de cambios psicofísicos que suceden antes de la muerte previsible^([cita requerida])
9005,english_definition,set of psychophysical changes that occur before foreseeable death^([required quote])
10046,definitions,Un tipo de motor.^([definición imprecisa])
10046,english_definition,An engine type.^([imprecise definition])
10176,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
10176,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
10596,definitions,Que tiene afición por el comercio o habilidad para realizarlo.^([cita requerida]).
10596,english_definition,Who has a hobby for trade or ability to do so.^([citation required]).
10748,definitions,"En un proceso aleatorio discreto, la señal que resulta de sustraer al valor del proceso en un instante de tiempo toda la información conocida a partir de los valores del proceso en los instantes previos del cual se quiere calcular la innovación, a saber, se define la innovación de X[n] como V_X[n]=X[n]-𝔼[X[n]|X[n-1],X[n-2],...]."
10748,english_definition,"In a discrete random process, the signal that results from subtracting all known information from the values of the process in a moment of time from the previous moments of which innovation is calculated, namely, X[n] innovation is defined as V_X[n]=X[n]-E[X[n]X[n-1],X[n-2],...]."
10819,translation,[with a ‘someone; something’] belonging to
10956,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
10956,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
11004,definitions,"Se dice de aparatos, cosas y software fáciles de comprender y utilizar. ^([cita requerida])"
11004,english_definition,"It is said of devices, things and software easy to understand and use. ^([required quote])"
11438,translation,to [with de ‘something’] to do without
11917,definitions,No hablar o actuar seriamente.^([cita requerida])
11917,english_definition,Do not speak or act seriously.^([required quote])
12653,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
12653,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
13062,definitions,"En la fabricación de hierro, o cualquier otro metal procedente de minerales metálicos, etapa de una fundición de alto horno donde se vierte el material fundido (arrabio) en un molde.^([cita requerida])."
13062,english_definition,"In the manufacture of iron, or any other metal from metal minerals, stage of a blast furnace foundry where the molten material (arrabium) is poured into a mold.^([required quote])."
13276,definitions,"Palabra o conjunto de palabras que son ofensivas, insultantes u obscenas en un determinado ámbito.^([cita requerida])"
13276,english_definition,"Word or set of words that are offensive, insulting or obscene in a certain field.^([citation required])"
13305,translation,[with a ‘someone; something’] belonging to
14192,definitions,"Instalar un negocio, industria o consulta profesional por cuenta propia. ^([cita requerida])"
14192,english_definition,"Install a business, industry or professional consultation on your own account. ^([citation required])"
