rank,lemma,original_lemma
1,de,de
2,que,que
3,la,la
4,no,no
5,a,a
6,el,el
7,y,y
8,en,en
9,es,ser
10,un,un
11,lo,lo
12,por,por
13,los,el
14,una,un
15,se,se
16,con,con
17,qué,qué
18,me,yo
19,para,para
20,las,las
21,del,de + el
22,te,tú
23,su,suyo
24,pero,pero
25,si,si
26,está,estar
27,mi,mío
28,al,a + el
29,sí,sí
30,como,como
31,bien,bien
32,más,más
33,eso,ése
34,yo,yo
35,le,le
36,aquí,aquí
37,tu,tuyo
38,todo,todo
39,ha,haber
40,ya,ya
41,o,o
42,esto,este
43,muy,mucho
44,esta,este
45,ahora,ahora
46,así,así
47,cuando,cuando
48,hay,haber
49,este,este
50,algo,algo
51,estoy,estar
52,vamos,ir
53,él,él
54,ser,ser
55,bueno,bueno
56,nos,nosotros
57,sus,su
58,fue,ir
59,tengo,tener
60,era,ser
61,nada,nada
62,tiene,tener
63,sé,saber
64,tú,tú
65,cómo,cómo
66,vez,vez
67,estás,estar
68,sólo,sólo
69,ella,ella
70,son,ser
71,hacer,hacer
72,he,haber
73,porque,porque
74,todos,todo
75,puedo,poder
76,quiero,querer
77,gracias,gracias
78,puede,poder
79,dos,dos
80,sin,sin
81,soy,ser
82,sobre,sobre
83,ese,ese
84,estaba,estar
85,también,también
86,tiempo,tiempo
87,tan,tan
88,entonces,entonces
89,creo,crear
90,tienes,tener
91,casa,casa
92,usted,usted
93,esa,ese
94,voy,ir
95,sabes,sabes
96,eres,ser
97,verdad,verdad
98,hasta,hasta
99,solo,solo
100,nunca,nunca
101,años,año
102,hace,hace
103,va,ir
104,hola,hola
105,mucho,mucho
106,quién,quién
107,mejor,mejor
108,vida,vida
109,decir,decir
110,dónde,dónde
111,ni,ni
112,están,estar
113,favor,favor
114,señor,señor
115,hombre,hombre
116,siempre,siempre
117,ver,ver
118,uno,uno
119,quieres,querer
120,siento,sentar
121,había,haber
122,dios,dios
123,has,haber
124,antes,antes
125,día,día
126,desde,desde
127,tenemos,tener
128,poco,poco
129,cosas,cosa
130,ti,tú
131,otra,otro
132,mismo,mismo
133,han,haber
134,hecho,hecho
135,alguien,alguien
136,puedes,poder
137,ahí,ahí
138,dijo,decir
139,estar,estar
140,entre,entre
141,noche,noche
142,trabajo,trabajo
143,ir,ir
144,después,después
145,mis,mi
146,sea,ser
147,acuerdo,acuerdo
148,otro,otro
149,parece,parecer
150,donde,donde
151,ellos,él
152,estamos,estar
153,mundo,mundo
154,gente,gente
155,nosotros,nosotros
156,padre,padre
157,estado,estar
158,nadie,nadie
159,tal,tal
160,les,ustedes
161,parte,parte
162,sido,ser
163,momento,momento
164,podría,poder
165,menos,menos
166,mira,mira
167,quiere,querer
168,fuera,fuera
169,gran,grande
170,lugar,lugar
171,hablar,hablar
172,tener,tener
173,tenía,tener
174,tres,tres
175,nuevo,nuevo
176,pasa,pasa
177,vas,ir
178,cada,cada
179,claro,claro
180,dinero,dinero
181,madre,madre
182,mañana,mañana
183,tipo,tipo
184,hoy,hoy
185,días,día
186,luego,luego
187,allí,allí
188,mujer,mujer
189,nuestro,nuestro
190,tanto,tanto
191,cosa,cosa
192,sabe,saber
193,todas,todo
194,haciendo,hacer
195,hijo,hijo
196,dice,decir
197,seguro,seguro
198,podemos,podar
199,debe,deber
200,espera,espera
201,vale,vale
202,será,ser
203,estas,este
204,toda,todo
205,haber,haber
206,tus,tu
207,amigo,amigo
208,nuestra,nuestro
209,buena,bueno
210,aún,aún
211,quien,quien
212,estos,este
213,nombre,nombre
214,tienen,tener
215,veces,veces
216,mamá,mamá
217,mal,mal
218,buen,bueno
219,durante,durante
220,papá,papá
221,quería,querer
222,dije,dije
223,unos,un
224,pasado,pasado
225,forma,forma
226,gusta,gustar
227,hizo,hacer
228,caso,caso
229,contra,contra
230,tarde,tarde
231,necesito,necesitar
232,oye,oye
233,alguna,alguno
234,hemos,hemo
235,cuenta,cuenta
236,visto,visto
237,conmigo,conmigo
238,mientras,mientras
239,otros,otro
240,realmente,realmente
241,hora,hora
242,problema,problema
243,crees,crear
244,año,año
245,razón,razón
246,primera,primera
247,cierto,cierto
248,saber,saber
249,dicho,dicho
250,hacerlo,hacer
251,mierda,mierda
252,pues,pues
253,idea,idear
254,mío,mío
255,e,e
256,aunque,aunque
257,familia,familia
258,hacia,hacia
259,amor,amor
260,esos,ese
261,pueden,poder
262,importa,importar
263,todavía,todavía
264,personas,persona
265,policía,policía
266,casi,casi
267,contigo,contigo
268,cualquier,cualquiera
269,demasiado,demasiado
270,ven,venir
271,serio,serio
272,algún,alguno
273,ve,ve
274,nueva,nueva
275,eh,eh
276,lado,lado
277,manera,manera
278,cabeza,cabeza
279,hombres,hombre
280,historia,historia
281,dentro,dentro
282,sería,ser
283,salir,salir
284,debería,deber
285,van,ir
286,ciudad,ciudad
287,ustedes,ustedes
288,muchas,mucho
289,poder,poder
290,algunos,alguno
291,amigos,amigo
292,chica,chico
293,mayor,grande
294,sabía,saber
295,chicos,chico
296,hermano,hermano
297,esas,ese
298,primer,primero
299,país,país
300,vaya,vaya
301,agua,agua
302,misma,mismo
303,veo,ver
304,haces,hacer
305,camino,camino
306,persona,persona
307,iba,ir
308,realidad,realidad
309,fin,fin
310,importante,importante
311,primero,primero
312,digo,digo
313,horas,hora
314,semana,semana
315,puerta,puerta
316,somos,ser
317,pensé,pensar
318,bajo,bajo
319,muerte,muerte
320,problemas,problema
321,punto,punto
322,pasó,pasar
323,quizá,quizá
324,buenas,buenas
325,supuesto,supuesto
326,cuatro,cuatro
327,da,dar
328,mano,mano
329,volver,volver
330,además,además
331,señora,señora
332,cariño,cariño
333,ayuda,ayuda
334,ojos,ojo
335,cinco,cinco
336,pasar,pasar
337,general,general
338,pronto,pronto
339,debo,deber
340,minutos,minuto
341,sino,sino
342,gobierno,gobierno
343,manos,mano
344,presidente,presidente
345,muerto,muerto
346,muchos,mucho
347,chico,chico
348,guerra,guerra
349,hice,hacer
350,incluso,incluso
351,medio,medio
352,cuál,cuál
353,hablando,hablar
354,adiós,adiós
355,siquiera,siquiera
356,genial,genial
357,fueron,ir
358,ello,ello
359,rápido,rápido
360,equipo,equipo
361,dejar,dejar
362,significa,significar
363,jefe,jefe
364,millones,millón
365,suerte,suerte
366,otras,otro
367,ayer,ayer
368,cuerpo,cuerpo
369,llegar,llegar
370,mujeres,mujer
371,posible,posible
372,según,según
373,nuestros,nuestro
374,quizás,quizás
375,tierra,tierra
376,único,único
377,hija,hija
378,ninguna,ninguno
379,final,final
380,cara,cara
381,niño,niño
382,supongo,suponer
383,juntos,junto
384,algunas,alguno
385,entiendo,entender
386,número,número
387,ningún,ninguno
388,deja,deja
389,ves,ver
390,tío,tío
391,cerca,cerca
392,corazón,corazón
393,miedo,miedo
394,buenos,bueno
395,eran,ser
396,haya,haber
397,hubiera,haber
398,feliz,feliz
399,unas,un
400,espero,esperar
401,igual,igual
402,viene,venir
403,meses,mes
404,sigue,seguir
405,dar,dar
406,podía,poder
407,última,último
408,difícil,difícil
409,os,os
410,venir,venir
411,vi,ver
412,viejo,viejo
413,bastante,bastante
414,tomar,tomar
415,gustaría,gustar
416,cuánto,cuánto
417,encontrar,encontrar
418,adelante,adelante
419,justo,justo
420,sentido,sentido
421,esposa,esposa
422,segundo,segundo
423,grande,grande
424,allá,allá
425,clase,clase
426,cual,cual
427,ante,ante
428,juego,juego
429,tenido,tener
430,pensar,pensar
431,pueda,poder
432,doctor,doctor
433,grupo,grupo
434,cuidado,cuidado
435,suficiente,suficiente
436,sangre,sangre
437,pequeño,pequeño
438,dijiste,decir
439,trata,trata
440,haré,hacer
441,último,último
442,frente,frente
443,grandes,grande
444,venga,venga
445,llama,llama
446,noches,noche
447,toma,toma
448,necesita,necesitar
449,debes,deber
450,arriba,arriba
451,vuelta,vuelta
452,coche,cochino
