rank,lemma,original_sentence,final_sentence,original_english_sentence
162,sido,Tamer abdo amin colgó el video que ha sido visto veces en facebook con el siguiente comentario.,Ha sido visto veces en facebook.,Tamer abdo amin posted the video that has been seen on facebook times with the following comment.
285,van,Mira j d corren tiempos complicados y más complicados que se van a poner.,Más complicados que se van a poner.,Look j d these times are complicated and more complicated than they're going to get.
289,poder,Un arcángel más el poder de dios no puede superar a la hermana de dios.,Poder de dios no puede superar.,An archangel plus God's power cannot overcome God's sister.
397,hubiera,Si hubiera una forma de hacerlo con un poco más de dignidad algo de brillo y sustancia.,Si hubiera una forma de hacerlo.,"If there was a way to do it with a little more dignity, some brightness and substance."
478,dices,Que sucede en dilwale piensas algo dices otra cosa es una gran escena mira eso.,Piensas algo dices otra cosa es.,What happens in Dilwale you think something else you say is a big scene look at that.
506,esté,Y ahora asegúrese de que nuestro cliente esté bien porque no podemos permitirnos llegar tarde.,Y ahora asegúrese de que nuestro cliente esté bien.,And now make sure our client's okay because we can't afford to be late.
770,sean,Y uh y fue escrito el litigios y dijo dijo sean se no se ve bien.,Dijo dijo sean se no se ve bien.,And uh and the litigation was written down and said be it doesn't look good.
808,estaré,Si no lo hicieran estaré obligado a considerar su presencia aquí como un acto de guerra.,Lo hicieran estaré obligado.,"If they don't, I'll be obliged to consider your presence here as an act of war."
923,puso,Entonces se puso en contacto me dijo que tenía una hija de años de la que nunca supe.,Se puso en contacto me dijo.,Then he got in touch with me and told me he had a year-old daughter I never knew about.
1119,encontró,Mi doctora hizo algunas pruebas y ella encontró algo que nunca antes había visto.,Ella encontró algo que nunca antes había visto.,My doctor did some tests and she found something she'd never seen before.
1183,vine,Me dijeron que la srta welles tenía un amorío y vine aquí porque pensé que usted quizás sabía algo.,Me dijeron que la srta welles tenía un amorío y vine aquí.,I was told that Miss Welles had an affair and I came here because I thought you might know something.
1364,casas,Si cuidados infantiles dejara a los niños así no necesitarían casas de adopción y eso les daría tristeza.,No necesitarían casas de adopción.,"If child care left the children like this, they would not need adoption homes and that would make them sad."
1416,sepa,Solo te pedimos que hagas un par de llamadas quizás alguien sepa dónde está.,Quizás alguien sepa dónde está.,We're just asking you to make a couple of calls. Maybe someone knows where he is.
1451,vea,Y él jura que la próxima persona que vea morir será inteligente rica y blanca.,Vea morir será inteligente rica.,And he swears that the next person he sees die will be smart rich and white.
1472,hagan,Esperamos que todas las partes hagan todo lo posible por asegurar que los perpetradores sean llevados ante la justicia.,Las partes hagan todo lo posible.,We hope that all parties will do their utmost to ensure that the perpetrators are brought to justice.
1549,fuimos,Horas antes de que te subieras a la carreta en la que fuimos a laramie.,Fuimos a laramie.,Hours before you got on the wagon where we went to laramie.
1585,puedan,Claro hay algo que puedan hacer para ayudarte en cuanto al volumen o la mezcla.,Hay algo que puedan hacer para ayudarte en cuanto al volumen.,"Of course, there's something they can do to help you with volume or mix."
1607,cuya,Reglamento cuya última modificación la constituye el reglamento ce no do l de p.,Reglamento cuya última modificación la constituye.,Regulation as last amended by Council Regulation (EC) No 396/95.
1625,querer,Te voy a tratar tan bien que no vas a querer que me vaya jamás.,Querer que me vaya jamás.,I'm gonna treat you so well you're never gonna want me to leave.
1672,actividades,Gestión de las estadísticas y de las actividades de registro en la sede.,De las actividades de registro en la sede.,Management of statistics and registration activities at headquarters.
1744,hayan,No desembarcar ningún pescado que se conserve a bordo hasta que las autoridades nacionales competentes hayan dado el correspondiente permiso.,Competentes hayan dado el correspondiente permiso.,Do not land any fish that is retained on board until the competent national authorities have given the relevant permit.
1746,saliendo,Bueno está el pequeño asunto de que actualmente estamos saliendo con otras personas.,Está el pequeño asunto de que actualmente estamos saliendo con otras personas.,"Well, there's the little thing that we're actually dating other people."
1811,pasará,Tienes una idea de lo que pasará cuando empiecen a revivir su pasado.,Tienes una idea de lo que pasará.,You have an idea what will happen when they start reviving their past.
1889,industria,Para que pudiera llevar a la industria de la música en el futuro.,La industria de la música.,So that I could lead to the music industry in the future.
1965,completa,Amor mío nunca tuve ia sensación de completa soledad hasta que te fuiste.,Completa soledad hasta que te fuiste.,"My love, I never had a feeling of complete loneliness until you left."
2118,acabas,Qué es lo que acabas de salir de la cárcel o algo amigo.,Qué es lo que acabas de salir de la cárcel.,"What did you just get out of jail or something, buddy?"
2194,ciudades,En el año nuevo infiltraremos todas las ciudades y las atacaremos al mismo tiempo.,En el año nuevo infiltraremos todas las ciudades.,In the New Year we will infiltrate all the cities and attack them at the same time.
2209,presentar,Se invita a presentar resúme nes a más tardar el de octubre de.,Presentar resúme nes.,Summaries are invited by October at the latest.
2461,constitución,Por lo tanto esperamos que la constitución europea sea aprobada lo antes posible.,Esperamos que la constitución europea sea aprobada lo antes posible.,We therefore hope that the European constitution will be adopted as soon as possible.
2516,trabajaba,Qué ha sido de aquel chico que trabajaba en la oficina con usted.,Trabajaba en la oficina con usted.,What happened to that guy who worked in the office with you.
2556,adecuado,Me di cuenta de que el truco estaba en elegir el momento adecuado.,El momento adecuado.,I realized that the trick was to choose the right time.
2621,funciones,Son funciones específicas de la comisión de coordinación de prevención de riesgos laborales.,Son funciones específicas de la comisión.,These are specific functions of the coordination commission on occupational risk prevention.
2626,vivido,Etnonces has vivido una larga vida amigo no mucha gente lo ha hecho.,Has vivido una larga vida amigo no mucha gente lo ha hecho.,Ethnonces you've lived a long life friend not many people have.
2628,saldrá,Te da un besito en ia frente y te dice que todo saldrá bien.,Te dice que todo saldrá bien.,He gives you a little kiss in front of you and tells you everything will be fine.
2658,altos,Aquí la demanda del gobierno de mano de obra mantiene altos los salarios.,Obra mantiene altos los salarios.,Here the government's demand for labor keeps wages high.
2669,dejamos,Dejamos que la arena se pose y usamos el agua limpia de la superficie.,Dejamos que la arena se pose.,We let the sand posses and use the clean water from the surface.
2678,ciertos,Se caracterizaron por ciertos elementos estilísticos diferentes al resto de los grupos de la época armonías vocales sonido pop.,Ciertos elementos estilísticos diferentes al resto.,They were characterized by certain stylistic elements different from the rest of the groups of the time vocal harmonies pop sound.
2750,llevando,Creo que eso es lo que usted cree que está llevando a cabo no lo que no lleva a cabo.,Está llevando a cabo no lo.,"I think that's what you think you're doing, not what you're not doing."
2760,éstas,Habla de las emisiones éstas son transitorias en las lenguas de signos desaparecen rápidamente.,Las emisiones éstas son transitorias.,It talks about broadcasts which are transitory in sign languages disappear quickly.
2809,bienes,Qué tipos de bienes y servicios compró por conducto de la internet en los últimos meses.,Qué tipos de bienes.,What types of goods and services you bought through the internet in recent months.
2852,diversas,Se hicieron diversas sugerencias sobre la forma de resolver algunas de las deficiencias.,Se hicieron diversas sugerencias sobre la forma.,Several suggestions were made on how to address some of the shortcomings.
2868,cuarenta,Has puesto un micro de cuarenta mil dólares en la cara de ese hombre.,Cuarenta mil dólares en la cara.,"You put a $40,000 wire on that man's face."
2873,salgan,Entonces estaré mirándolos a uno y cada uno de ustedes muchachos así que salgan allí afuera y demuéstrenles quien manda.,Cada uno de ustedes muchachos así que salgan allí afuera.,"Then I'll be looking at one and every one of you guys, so go out there and show them who's in charge."
2893,dicha,La comisión consultiva pide que se facilite dicha información a la quinta comisión.,Se facilite dicha información a la quinta comisión.,The Advisory Committee requests that this information be provided to the Fifth Committee.
2954,informes,Informes presentados por los estados partes de conformidad con el artículo de la convención.,Informes presentados por los estados partes.,Reports submitted by States parties in accordance with article of the convention.
2957,procesos,A la capacidad de creación de nuevos procesos contenidos y formas de negocio.,A la capacidad de creación de nuevos procesos contenidos.,To the ability to create new processes content and forms of business.
2964,f,En el artículo apartado la letra f se sustituye por el texto siguiente f.,La letra f se sustituye.,"in Article 1(1), point (f) is replaced by the following:"
3015,pecado,La gente piensa que el pecado no se paga se paga sí señor.,El pecado no se paga se.,People think that sin is not paid is paid yes sir.
3051,artículos,El proyecto de artículo define el ámbito de aplicación del presente proyecto de artículos.,Proyecto de artículos.,The draft article defines the scope of application of the present draft articles.
3059,tíos,No lo sé pero esos tíos no deberían ser tan difíciles de rastrear.,Esos tíos no deberían ser tan difíciles de rastrear.,"I don't know, but those guys shouldn't be that hard to track."
3125,entrado,Bien parece que vosotros habéis entrado un poco más deprisa que los demás.,Vosotros habéis entrado un poco más deprisa.,Looks like you guys got in a little faster than everybody else.
3163,espacial,Bueno creo que la próxima vez que te vea estarás en tu traje espacial.,Tu traje espacial.,"Well, I think the next time I see you, you'll be in your space suit."
3235,consiste,Consiste en capturar o englobar algo que me falta es una manera de encontrar.,Consiste en capturar.,It's about capturing or embracing something I'm missing is a way to find.
3269,vuelven,E incluso es posible que las escuchen eso por supuesto si me vuelven a invitar.,Me vuelven a invitar.,And you might even hear that of course if you invite me back.
3277,sede,Celebrada en la sede nueva york el jueves de octubre de a las horas.,La sede nueva york el jueves.,"Held at the new york headquarters on Thursday, October, at the same time."
3332,ayudarnos,Él va a ayudarnos a obtener el control de la sala de guerra.,Ayudarnos a obtener el control.,He's gonna help us get control of the war room.
3339,previsto,Art a los fines de lo previsto en el artículo del código aduanero.,Lo previsto en el artículo del código.,Art. for the purposes of the Article of the Customs Code.
3358,damos,Salimos y damos la vuelta a la casa cada uno en una direccion.,Damos la vuelta a la casa cada uno en una direccion.,We go out and go around the house each in one direction.
3438,efe,Se ha detectado campylobacter en la mayor parte efe las aves prestas para cocinar.,Mayor parte efe las aves prestas.,Campylobacter has been detected in most of the birds lent for cooking.
3603,gris,No es mucho pero no hay mucha desde que todo se volvió gris.,No hay mucha desde que todo se volvió gris.,"It's not much, but there's not much since everything turned gray."
3604,técnicos,Las siguientes categorías profesionales se podrán encontrar únicamente en el grupo profesional de técnicos.,Profesional de técnicos.,The following professional categories may be found only in the professional group of technicians.
