count,spanish,pos,flags,usage,source_column,lemma_original,lemma_normalized,lemma_lemmatized,lemma_lookup_used,lemma_translated,translated_flag,translation_source
24459038,de,prep,,24459038:de,spanish,de,de,de,de,of/from,TRUE,override
20081793,ella,pron,,15403031:la|3687944:las|911291:ella|79527:ellas,spanish,ella,ella,ella,ella,she/her,TRUE,override
19102844,que,pron,,19102844:que,spanish,que,que,que,que,that/which,TRUE,override
17788728,el,art,,12100878:el|5687850:los,spanish,el,el,el,el,the (masc.),TRUE,override
16833200,ser,v,,8013166:es|1052612:ser|1005240:fue|985658:era|946793:sé|903809:son|772069:soy|641438:eres|421711:sea|376857:sido|287967:será|188040:sería|164983:somos|146401:fueron|135785:eran|107891:fui|102733:siendo|61871:sean|56992:seas|51383:fuiste|47998:eras|46117:serán|31745:seré|29120:fuimos|27313:serás|25704:fuese|22815:sois|21405:éramos|19573:fueran|17730:fueras|16789:fué|15016:serlo|14164:serían|12729:seremos|12306:seamos|8083:serías|6366:sos|5532:fuéramos|4224:fuí|3234:fuesen|2927:seríamos|2214:fuere|1851:fueses|1728:seáis|1640:seréis|1581:serle|1417:erais|1398:serte|1276:fuisteis|1010:fuésemos|886:siéndolo|543:sernos|483:fuerais|321:serme|286:seles|261:fueren|237:seríais|235:eri|229:serles|197:sela|160:eris|143:fueseis|111:sete|97:fueres|78:seros|72:soi|69:selo|51:siéndole|43:serla|28:sele|23:seme|23:siéndote|21:séase|20:sidos|16:siéndome|16:séalo|15:séame|13:seámoslo|13:siéndoles|11:siéndonos|11:sémele|10:sedlo|9:serse|8:fuy|7:eser|7:sedme|7:serlos|6:séanos|5:fuesse|5:fuéron|5:seás|5:sidas|5:siéndolos|5:séanlo,spanish,ser,ser,ser,ser,to be (identity/essence),TRUE,override
12810585,a,none,NOUSAGE,12810585:a,spanish,a,a,a,a,to (prep.),TRUE,override
11309024,y,conj,,11309024:y,spanish,y,y,y,y,and,TRUE,override
11051605,en,prep,,11051605:en,spanish,en,en,en,en,in/on/at,TRUE,override
10233257,él,pron,,6908748:lo|1845414:le|1070567:él|408528:ellos,spanish,él,él,él,él,he/him,TRUE,override
7920799,estar,v,,2627414:está|1122710:estoy|929301:estás|730266:estaba|551731:están|448651:estar|402058:estamos|103610:estaban|102017:esté|95588:estabas|94320:estuvo|84648:estará|58121:estaré|56635:estaría|56560:estábamos|55083:estuve|42900:estés|39511:estuviera|29396:estén|29377:estarás|28773:estáis|28129:estaremos|24610:estarán|24188:estuviste|21324:estan|14683:estuvieron|14350:estemos|13645:estuvimos|12939:estando|12124:estarías|9556:estuvieras|7784:estarían|7718:estaríamos|7034:estuviese|6912:estuvieran|5804:estarlo|3763:estate|3585:estuviéramos|3270:estabais|1918:estéis|1365:estaréis|1194:estuvieses|1182:estuviesen|816:estad|669:estuviésemos|595:estuvisteis|485:estarse|418:estaríais|322:estarte|313:estuvierais|246:estarme|196:estarle|163:estese|130:estaos|103:estava|98:estándolo|83:estuvieseis|82:estarnos|54:estuviere|36:estense|34:estarles|30:estaros|30:stá|28:estarla|23:estuvieren|21:estarlos|15:estavan|10:estala|9:estanos|9:estarlas|8:estauan|7:estuvieres|7:estuviéremos|4:estándose|4:estársele|4:estárselo,spanish,estar,estar,estar,estar,to be (state/location),TRUE,override
7794471,uno,num,,7265404:un|529067:uno,spanish,uno,uno,uno,uno,a / some / one,TRUE,dict
6560815,haber,v,,1452267:ha|1179228:hay|879341:he|512587:había|507560:has|478219:han|283752:haber|236016:hemos|135257:haya|135227:hubiera|97608:habría|81143:habían|80772:habrá|63942:hubo|31231:habéis|30164:hubiese|29987:hayas|28511:haberlo|26295:habías|25760:hayan|23309:habido|21559:haberte|19860:hubieras|18345:habíamos|17550:haberme|17257:hubieran|15824:haberse|11638:habrían|11221:haberle|8887:habrán|8780:hayamos|8674:haberla|8624:habia|8569:habrías|7163:hubiéramos|5796:habrás|5431:habiendo|4783:habríamos|3982:hubiesen|3842:habré|3746:habernos|3521:hubieses|2920:haberlos|2581:habremos|1809:hubiésemos|1749:haberles|1695:hayáis|1681:habérmelo|1676:habértelo|1271:habérselo|1232:haberlas|1050:hubieron|1047:habíais|790:haberos|743:habida|648:aver|629:habiéndose|626:hubiere|594:habréis|558:hubierais|336:hube|325:habríais|306:helo|298:habidos|252:habérsela|226:habidas|222:heme|199:habérsele|170:hela|165:hubieseis|131:hete|128:habérmela|127:habérnoslo|110:hubieren|107:habiéndolo|97:habérselos|91:hubimos|89:haiga|84:habértela|82:habiéndole|73:habiéndome|44:habiéndola|43:habérseles|42:habérmelas|40:habiéndote|34:habéroslo|34:helos|30:habiéndonos|27:habe|27:huviera|26:habérmelos|26:hele|25:habértelos|25:helas|24:habiéndolos|23:habértelas|20:habiéndosele|18:huvo|16:habérnoslas|13:habérnosla|12:abía|12:hubieres|11:habiéndoles|11:havía|11:hubiste|10:habiéndolas|8:hayás|8:hobiese|7:habiéndosela|7:haviendo|7:ovieron|6:heles|6:huvieras|5:habiéndoos|4:habérnoslos|4:heis|4:hubiéremos,spanish,haber,haber,haber,haber,to have (aux.)/there is,TRUE,override
6385698,yo,pron,,4302080:me|2083618:yo,spanish,yo,yo,yo,yo,I,TRUE,override
6016577,por,prep,,6016577:por,spanish,por,por,por,por,by/for (cause/means),TRUE,override
5577805,uno,determiner,DUPLICATE,5193925:una|249272:unos|134608:unas,spanish,uno,uno,uno,uno,a / some / one,TRUE,dict
5264237,tener,v,,986784:tengo|954339:tiene|682238:tienes|498611:tenemos|350961:tener|350059:tenía|264360:tienen|123709:tenido|100620:tuvo|91480:tuve|86947:tenga|59087:tendrá|49330:tenías|47201:tenían|43398:tengas|42905:tendrás|42473:tendría|40319:ten|39981:tendremos|39060:tendré|35790:teniendo|35272:teníamos|31723:tuviera|31220:tuvimos|26783:tengan|23456:tuvieron|22883:tendrán|22480:tuviste|21728:tenéis|17130:tengamos|10361:tenerlo|9983:tendrías|8641:tendríamos|8327:tuvieras|7332:tenerte|6576:tendrían|5552:tenerla|4987:tuvieran|4724:tenés|4582:tuviese|4374:tuviéramos|2941:tenerlos|2453:tendréis|2251:tenerme|2036:tengáis|2021:tened|1619:tenerle|1327:teníais|1192:tenerlas|1155:tenerse|876:tuvieses|706:tenlo|694:tuviesen|634:tuvisteis|612:tuviésemos|543:tenernos|408:tendríais|377:tenida|365:tenidos|305:teneros|274:tenerles|263:tenme|258:tenidas|246:téngalo|234:téngase|229:tuvierais|221:teniéndolo|176:tené|168:teniéndote|167:tenla|142:teniéndola|128:téngame|101:ténganlo|90:teniéndolos|89:teniéndome|84:tuviere|80:tenlos|70:tente|65:tenedlo|65:teniéndose|62:teniéndole|49:tuvieseis|44:teniéndolas|41:teneos|41:tengámoslo|41:tenle|39:ténganme|37:téngala|32:tengámosla|26:tenelo|26:teneme|26:tenenos|26:tenérselo|24:tengás|24:tuvieren|22:ténganos|21:tenedme|18:teniéndonos|17:téngalos|15:teniéndoos|15:ténganlos|12:tenlas|12:téngale|10:tennos|9:tenérmelo|9:téngalas|9:ténganle|9:ténganse|8:tenedla|7:teniéndoles|7:tuvieres|7:ténganla|7:ténganlas|7:ténmelo|6:tenérsela|6:tenértelo|5:tenedlos|5:tenela|5:tenérselas|4:tengámoslos|4:tenles|4:tenérsele|4:tenértelas|4:téngannos,spanish,tener,tener,tener,tener,to have/possess,TRUE,override
5080634,se,pron,,5080634:se,spanish,se,se,se,se,oneself/himself/herself/itself; reflexive marker,TRUE,override
4809379,ir,v,,1072351:vamos|662485:voy|604495:va|439955:ir|336124:vas|198486:ve|186422:van|172489:vaya|169636:iba|137917:ves|104001:ido|95198:vete|76578:iré|62112:irme|41592:vámonos|39835:vayas|36800:irse|32174:irnos|31686:iremos|30501:vayan|29813:irá|28846:irte|26827:iban|24104:yendo|23630:ibas|23518:vayamos|18130:íbamos|16029:irás|14183:vais|13867:iría|13465:irán|8740:váyanse|8616:váyase|6053:id|2827:iros|2566:irías|2098:ba|2063:iríamos|2019:vayámonos|1931:irían|1456:vayáis|1175:andá|801:yéndose|790:ibais|777:llendo|775:andate|705:iréis|586:idos|278:yéndome|224:veme|214:irle|191:yéndote|182:vele|166:andale|163:hiba|106:yéndonos|86:irlo|65:irla|65:iríais|60:irlos|48:irles|45:idle|37:veles|35:irlas|29:hibas|25:íos|23:venos|22:yéndole|20:írsele|16:vayás|14:hiban|11:vamanos|7:idles|6:andalo|5:váyale|5:írselo|4:írseles,spanish,ir,ir,ir,ir,to go,TRUE,override
4615774,tú,pron,,3154427:te|946172:tú|483867:ti|31308:tí,spanish,tú,tú,tú,tú,you,TRUE,override
4509652,con,prep,,4509652:con,spanish,con,con,con,con,with,TRUE,override
4351664,qué,pron,,4351664:qué,spanish,qué,qué,qué,qué,what,TRUE,override
4121086,suyo,determiner,,3109129:su|1011957:sus,spanish,suyo,suyo,suyo,suyo,his,TRUE,dict
