lemma,count
damage,24459038
[UNTRANSLATED] pícaro,19102844
[UNTRANSLATED] krishna,15403031
[UNTRANSLATED] nilo,13845008
to (prep.),12810585
exert / wield,12100878
[UNTRANSLATED] winifred,11309024
[UNTRANSLATED] empuje,11051605
[UNTRANSLATED] errático,8013166
[UNTRANSLATED] s,7265404
rainy,6908748
veto / put / dot,6016577
[UNTRANSLATED] lon,5687850
[UNTRANSLATED] u2,5193925
saudi / saudi arabian,5080634
community,4509652
[UNTRANSLATED] quisquilloso,4351664
morning / tomorrow,4302080
[UNTRANSLATED] panista,3894252
lara,3687944
allow / give / quit,3505097
take,3154427
[UNTRANSLATED] stef,3109129
remain,2819996
[UNTRANSLATED] sharpe,2676145
to be (state/location),2627414
metastasis,2589564
[UNTRANSLATED] aki,2500543
[UNTRANSLATED] swan,2459145
commissariat / station,2404116
bicycle,2176247
move / shift,2165223
spherical,2144243
[UNTRANSLATED] xiang,2083618
lavender,1845414
[UNTRANSLATED] aquã,1691911
tropical,1665803
holder / headline / entitle,1544237
gálvez,1452267
[UNTRANSLATED] winnipeg,1389442
nuptial,1386256
stimulating,1379826
murray,1294788
[UNTRANSLATED] esquiar,1290741
drown,1213835
frighten / scare,1205977
any / any one / either,1188601
[UNTRANSLATED] haskell,1179228
to be (state/location),1144392
seaweed / alga,1125191
pull / strain,1122710
valdés,1072351
juice,1070567
seat / sit / settle,1052612
buddhist,1039956
[UNTRANSLATED] noquear,1021380
assume / suppose,1011957
fruit,1005240
thematic,986784
[UNTRANSLATED] equivocar,985658
muscle,960184
[UNTRANSLATED] thea,954339
drop / release,946793
[UNTRANSLATED] támesis,946172
see / catch / get,935449
[UNTRANSLATED] versace,930765
to be (state/location),929301
pull / remove / take,912140
delete / eliminate,911291
[UNTRANSLATED] soltero,903809
to have (aux.)/there is,890471
[UNTRANSLATED] haya,879341
veto / put / dot,870759
holder / headline / entitle,844860
[UNTRANSLATED] publicista,825278
to want,822885
gps,803297
issue / publish,792545
sleep,784866
[UNTRANSLATED] sima,773153
suspect,772069
[UNTRANSLATED] sketch,767724
scan / scanner,752181
[UNTRANSLATED] esquiar,730266
[UNTRANSLATED] taelons,715468
[UNTRANSLATED] thai,687892
thai,686387
entity,685644
believe / think,683937
[UNTRANSLATED] their,682238
cardboard,672896
urbanisation,668917
erroneous,668819
take / see / come,662485
fast / quick / rapid,647130
equivocal,641438
revenge / vengeance,629489
[UNTRANSLATED] hartman,626256
[UNTRANSLATED] solano,622353
