rank,lemma,original_lemma,new_translation,variant_relation,reason
3,la,la,the (fem.),unknown,translation_already_has_brackets
6,el,el,the (masc.),unknown,translation_already_has_brackets
9,es,ser,is (ser),unknown,translation_already_has_brackets
10,un,un,a; an (masc.),unknown,translation_already_has_brackets
11,lo,lo,it; him (neuter),unknown,translation_already_has_brackets
12,por,por,by; through; because of; for (por),unknown,translation_already_has_brackets
13,los,el,the (masc. pl.),unknown,translation_already_has_brackets
14,una,un,a; an (fem.),unknown,translation_already_has_brackets
19,para,para,for; to; in order to (para),unknown,translation_already_has_brackets
20,las,las,the (fem. pl.),unknown,translation_already_has_brackets
25,si,si,if; whether,unknown,pos_not_supported
26,está,estar,is (estar),unknown,translation_already_has_brackets
28,al,a + el,to the,unknown,pos_not_supported
29,sí,sí,yes; oneself (prepositional),unknown,translation_already_has_brackets
30,como,como,as; like,unknown,pos_not_supported
33,eso,ése,that (neuter),unknown,translation_already_has_brackets
39,ha,haber,has (haber),unknown,translation_already_has_brackets
42,esto,este,this (neuter),unknown,translation_already_has_brackets
44,esta,este,this (fem.),unknown,translation_already_has_brackets
49,este,este,this (masc.),unknown,translation_already_has_brackets
51,estoy,estar,am (estar),unknown,translation_already_has_brackets
56,nos,nosotros,us,unknown,no_safe_match
57,sus,su,his; her; its; your; their (plural),plural_of_original,plus_s
58,fue,ir,was; went (ser/ir),unknown,translation_already_has_brackets
59,tengo,tener,have (tener),unknown,translation_already_has_brackets
60,era,era,age (ser),unknown,translation_already_has_brackets
62,tiene,tener,has (tener),unknown,translation_already_has_brackets
67,estás,estar,are (estar),unknown,translation_already_has_brackets
70,son,ser,are (ser),unknown,translation_already_has_brackets
72,he,haber,have (haber),unknown,translation_already_has_brackets
74,todos,todo,all; everyone (masc. pl.),unknown,translation_already_has_brackets
81,soy,ser,am (ser),unknown,translation_already_has_brackets
83,ese,ese,that (masc.),unknown,translation_already_has_brackets
84,estaba,estar,was (estar),unknown,translation_already_has_brackets
90,tienes,tener,have (tener),unknown,translation_already_has_brackets
92,usted,usted,you (formal),unknown,translation_already_has_brackets
93,esa,ese,that (fem.),unknown,translation_already_has_brackets
96,eres,ser,are (ser),unknown,translation_already_has_brackets
101,años,año,year (masculine plural),masculine_plural_of_original,o_to_os
106,quién,quién,who,base,same_form
112,están,estar,are (estar),unknown,translation_already_has_brackets
121,había,haber,had (haber),unknown,translation_already_has_brackets
123,has,haber,have (haber),unknown,translation_already_has_brackets
127,tenemos,tener,have (tener),unknown,translation_already_has_brackets
129,cosas,cosa,thing (plural),plural_of_original,plus_s
130,ti,tú,you (prepositional),unknown,translation_already_has_brackets
131,otra,otro,other; another (fem.),unknown,translation_already_has_brackets
133,han,haber,have (haber),unknown,translation_already_has_brackets
145,mis,mi,my (plural),plural_of_original,plus_s
146,sea,ser,be (ser),unknown,translation_already_has_brackets
148,otro,otro,other; another (masc.),unknown,translation_already_has_brackets
152,estamos,estar,are (estar),unknown,translation_already_has_brackets
173,tenía,tener,had (tener),unknown,translation_already_has_brackets
185,días,día,day (plural),plural_of_original,plus_s
193,todas,todo,all (fem. pl.),unknown,translation_already_has_brackets
202,será,ser,will be (ser),unknown,translation_already_has_brackets
203,estas,este,these (fem. pl.),unknown,translation_already_has_brackets
204,toda,todo,all; every (fem.),unknown,translation_already_has_brackets
206,tus,tu,your (plural),plural_of_original,plus_s
208,nuestra,nuestro,our (feminine singular),feminine_of_original,o_to_a
209,buena,bueno,good (feminine singular),feminine_of_original,o_to_a
212,estos,este,these (masc. pl.),unknown,translation_already_has_brackets
223,unos,un,some (masc. pl.),unknown,translation_already_has_brackets
233,alguna,alguno,some; any (fem.),unknown,translation_already_has_brackets
234,hemos,hemo,heme (masculine plural),masculine_plural_of_original,o_to_os
239,otros,otro,other; another (masc. pl.),unknown,translation_already_has_brackets
260,esos,ese,those (masc. pl.),unknown,translation_already_has_brackets
264,personas,persona,person (plural),plural_of_original,plus_s
272,algún,alguno,some; any (masc.),unknown,translation_already_has_brackets
279,hombres,hombre,man (plural),plural_of_original,plus_s
287,ustedes,ustedes,you (formal pl.),unknown,translation_already_has_brackets
288,muchas,mucho,much; a lot of (fem. pl.),unknown,translation_already_has_brackets
290,algunos,alguno,some (masc. pl.),unknown,translation_already_has_brackets
291,amigos,amigo,friend (masculine plural),masculine_plural_of_original,o_to_os
292,chica,chico,female equivalent of chico: girl (feminine singular),feminine_of_original,o_to_a
295,chicos,chico,small (masculine plural),masculine_plural_of_original,o_to_os
297,esas,ese,those (fem. pl.),unknown,translation_already_has_brackets
302,misma,mismo,self (feminine singular),feminine_of_original,o_to_a
304,haces,haz,bundle (plural),plural_of_original,z_to_ces
313,horas,hora,hour (plural),plural_of_original,plus_s
316,somos,ser,are (ser),unknown,translation_already_has_brackets
320,problemas,problema,issue; problem; challenge (plural),plural_of_original,plus_s
334,ojos,ojo,eye (masculine plural),masculine_plural_of_original,o_to_os
