rank,lemma,original_lemma,old_translation,new_translation,translation_changed,review_reason,imperative_relation,imperative_person,imperative_polarity,imperative_confidence,subjunctive_relation,subjunctive_tense,subjunctive_person,subjunctive_confidence,imperative_reason,subjunctive_reason
146,sea,ser,be,be (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,singular_ambiguous,high,no_safe_match,manual_irregular
396,haya,haber,have,have (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,singular_ambiguous,high,no_safe_match,manual_irregular
397,hubiera,haber,had,had (past subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,imperfect_ra,singular_ambiguous,high,no_safe_match,manual_irregular
470,cree,crear,he creates; she creates; it creates,he creates; she creates; it creates,no,subjunctive_candidate_only,not_imperative_form,,,,subjunctive_form,present,singular_ambiguous,low,no_safe_match,regular_present
506,esté,estar,I am,I am (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,singular_ambiguous,high,no_safe_match,manual_irregular
770,sean,ser,they are,they are (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,third,high,no_safe_match,manual_irregular
825,seas,ser,you are,you are (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,second,high,no_safe_match,manual_irregular
862,haz,hacer,do,do (imperative),yes,translation_changed,imperative_form,tú,affirmative,high,not_subjunctive_form,,,,manual_irregular_tu,no_match
1077,estés,estar,you are,you are (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,second,high,no_safe_match,manual_irregular
1170,estuviera,estar,I was,I was (past subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,imperfect_ra,singular_ambiguous,high,no_safe_match,manual_irregular
1474,vayan,ir,they go,they go (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,third,high,unsafe_regular_candidate,manual_irregular
1501,hubiese,haber,I had,I had (past subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,imperfect_se,singular_ambiguous,high,no_safe_match,manual_irregular
1540,estén,estar,they are,they are (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,third,high,no_safe_match,manual_irregular
1744,hayan,haber,they have,they have (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,third,high,no_safe_match,manual_irregular
1750,fuese,ir,I went,I went (past subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,imperfect_se,singular_ambiguous,high,unsafe_regular_candidate,manual_irregular
1854,llame,llamar,he summons; she summons; it summons,he summons; she summons; it summons,no,subjunctive_candidate_only,not_imperative_form,,,,subjunctive_form,present,singular_ambiguous,low,no_safe_match,regular_present
1900,vayamos,ir,we go,we go (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,first,high,unsafe_regular_candidate,manual_irregular
1926,dé,dar,he gives; she gives; it gives,he gives; she gives; it gives (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,singular_ambiguous,high,no_safe_match,manual_irregular
2186,sepas,saber,you know,you know (present subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,present,second,high,no_safe_match,manual_irregular
2192,hubieras,haber,you had,you had (past subjunctive),yes,translation_changed,not_imperative_form,,,,subjunctive_form,imperfect_ra,second,high,no_safe_match,manual_irregular
