rank,sentence,english_sentence
1,De qué se trata Fermin.,What's Fermin about?
2,Tenemos que esperar y ver si se despierta.,We have to wait and see if he wakes up.
3,No soy la directora de la oficina.,I'm not the head of the office.
4,Mi madre no me cuenta nada.,My mother doesn't tell me anything.
5,Hasta llegar a la puerta del foro.,Until you reach the forum door.
6,No sería el tipo de marido ideal.,I wouldn't be the ideal kind of husband.
7,Una voz y un acordeón.,A voice and an accordion.
8,Así que te convertiré en oruga.,So I'll turn you into a caterpillar.
9,La enfermera me ha dicho que es un niño.,The nurse told me he's a kid.
10,No tienes un problema de ratones.,You don't have a mouse problem.
11,Sé lo que estoy haciendo papá.,"I know what I'm doing, Dad."
12,Por qué quiere saber el nombre.,Why do you want to know the name?
13,Qué hay sobre los archivos ultra secretos.,What about the ultra-secret files.
14,Bueno no es una mala teoría.,"Well, it's not a bad theory."
15,No dejaré que esto se arruine.,I won't let this go down.
16,Te dije que estaba con ella.,I told you I was with her.
17,Qué pasa qué pasa con ella.,What's wrong with her?
18,Ni siquiera me gustan los niños.,I don't even like kids.
19,No estoy trabajando para una organización benéfica.,I'm not working for a charity.
20,El horario será de las horas a las horas.,The hours will be from hours to hours.
21,Salió del culo de mi amigo.,It came out of my friend's ass.
22,Todo lo que te rodea.,Everything around you.
23,No estaba besando su trasero.,I wasn't kissing his ass.
24,No pero no puedo correr el riesgo.,"No, but I can't take the risk."
25,Ah entonces si será un placer.,Ah then if it will be a pleasure.
26,Sé que ella está arrepentida de todo lo que pasó.,I know she's sorry about everything that happened.
27,No puedes contárselo a mi madre.,You can't tell my mother.
28,Elecciones al parlamento europeo de luxemburgo.,Elections to the Luxembourg European Parliament.
29,Por el infierno que sí.,For hell's sake.
30,Lo dices como si hubiera tenido opción.,You say it like I had a choice.
31,Muy bien tengo una idea.,"All right, I got an idea."
32,Soy un dios más o menos.,I'm kind of a god.
33,Escucha eso es lo que es.,"Listen, that's what it is."
34,Yo no soy tu amiga.,I'm not your friend.
35,Le he dicho que no se despertará.,I told him he won't wake up.
36,No podemos hacer más aquí.,We can't do more here.
37,Bueno tu madre es decir.,"Well, your mother means."
38,Todo se trata de dinero.,It's all about money.
39,Me ha dicho que te diga que le ha encantado.,He told me to tell you he loved it.
40,Ya se nos ha ido.,We're already gone.
41,No necesitan una o sí.,They don't need one or yes.
42,Estamos en la oscuridad en esto.,We're in the dark on this.
43,Es muy agradable de tu parte.,That's very nice of you.
44,Nadie lo tiene esta noche.,No one has it tonight.
45,Ahora mismo yo lo estoy.,Right now I am.
46,Así se ve nuestro objetivo.,That's what our target looks like.
47,Sabes cuando yo estaba pensando en adoptar.,You know when I was thinking about adopting.
48,Qué hay de la persona que lo mató.,What about the person who killed him.
49,A través de este denso velo.,Through this dense veil.
50,No puede hacer algo así.,He can't do something like that.
51,Puedo creer que estoy mirando esto.,I can believe I'm looking at this.
52,Vamos nos antes que ronnie nos atrape acá abajo.,Let's go before ronnie catches us down here.
53,Él cree que lo es.,He thinks he is.
54,La modificación mencionada ha de ser aprobada por el congreso nacional.,The aforementioned amendment must be approved by the national congress.
55,Bueno uno más uno más.,Well one plus one more.
56,Siempre nos va mal con los invitados.,It's always bad for us with the guests.
57,Son fotos de sus hijos.,They're pictures of his children.
58,Por eso molly se fue.,That's why Molly left.
59,Bueno qué se supone que tengo que hacer.,"Well, what am I supposed to do?"
60,Mi pa no era un hombre endeble.,My pa wasn't a weak man.
61,Bueno no me voy nada.,"Well, I'm not leaving anything."
62,Tienes razón esta vez jamie tiene que quedarse en casa.,You're right this time Jamie has to stay home.
63,Sé que debía haberle dicho.,I know I should have told you.
64,Por lo que he oído tú también.,"From what I've heard, too."
65,Cómo que se lo merecía.,Like he deserved it.
66,Tal vez el monstruo es real.,Maybe the monster is real.
67,Estás hecho para ser un boxeador.,You're made to be a boxer.
68,Sólo tenemos al año.,We only have a year.
69,No era de ella de él.,It wasn't hers.
70,No no son malas en absoluto.,They're not bad at all.
71,No sé lo que vamos a hacer con todo esto pero toma.,"I don't know what we're gonna do with all this, but take it."
72,Quizá porque me he acostado con ella.,Maybe because I slept with her.
73,No podía porque no me arrepiento.,I couldn't because I don't regret it.
