rank,lemma,translation
1,de,of; from
2,que,that; which;who;than
3,la,the (feminine)
4,no,not
5,a,to; at
6,el,the (masculine)
7,y,and
8,en,in; on; at
9,es,he is;she is;it is (identity/essence/origin/time)
10,un,a; an (masculine)
11,lo,it; him (neuter)
12,por,by; through; because of; for (cause/means/exchange/path)
13,los,the (masculine plural)
14,una,a; an (feminine)
15,se,oneself; himself; herself; itself; themselves
16,con,with
17,qué,what; which
18,me,me
19,para,for; to; in order to (purpose/destination/deadline)
20,las,the (feminine plural)
21,del,of the; from the
22,te,you
23,su,his; her; its; your; their
24,pero,but
25,si,if; whether
26,está,he is;she is; it is (state/location/result)
27,mi,my
28,al,to the
29,sí,yes; oneself (prepositional)
30,como,as; like
31,bien,well
32,más,more; most
33,eso,that (neuter)
34,yo,I
35,le,him; her; it
36,aquí,here
37,tu,your
38,todo,everything; all
39,ha,he has (auxiliary/existence)
40,ya,already; now; anymore (change; completion; immediacy)
41,o,or
42,esto,this (neuter)
43,muy,very
44,esta,this (feminine)
45,ahora,now
46,así,like this; so; thus
47,cuando,when
48,hay,there is; there are (auxiliary/existence)
49,este,this (masculine)
50,algo,something; somewhat
51,estoy,I am (state/location/result)
52,vamos,we go; let's go
53,él,he; him
54,ser,to be (identity/essence/origin/time)
55,bueno,good
56,nos,us
57,sus,his; her; its; your; their (plural)
58,fue,he was; she was; it was; he went; she went; it went (completed past)
59,tengo,have (possession/age/state/obligation)
60,era,he was
61,nada,nothing
62,tiene,has (possession/age/state/obligation)
63,sé,I know
64,tú,you
65,cómo,how
66,vez,time; instance
67,estás,you are (state/location/result)
68,sólo,only; just
69,ella,she; her
70,son,they are (identity/essence/origin/time)
71,hacer,to do
72,he,I have (auxiliary/existence)
73,porque,because
74,todos,all; everyone (masculine plural)
75,puedo,I am able to
76,quiero,I want
77,gracias,thanks; thank you
78,puede,"could be; it""s possible"
79,dos,two
80,sin,without
81,soy,I am (identity/essence/origin/time)
82,sobre,on; about; over
83,ese,that (masculine)
84,estaba,I was; he was; she was; it was (state/location/result; ongoing habitual/background past)
85,también,also; too
86,tiempo,time
87,tan,so; such; as
88,entonces,then; next; thereupon; at that time
89,creo,I believe
90,tienes,have (possession/age/state/obligation)
91,casa,house
92,usted,you (formal)
93,esa,that (feminine)
94,voy,I go
95,sabes,you know?
96,eres,you are (identity/essence/origin/time)
97,verdad,truth
98,hasta,until; up to
99,solo,only; alone
100,nunca,never
101,años,year (masculine plural)
102,hace,ago; makes; does
103,va,he goes; she goes; it goes
104,hola,hi; hey; hello
105,mucho,much; a lot
106,quién,who
107,mejor,better
108,vida,life
109,decir,to say
110,dónde,where
111,ni,nor; neither
112,están,are (state/location/result)
113,favor,favour
114,señor,sir; lord; mister
115,hombre,man
116,siempre,always
117,ver,to see
118,uno,one
119,quieres,you want
120,siento,I feel
121,había,there was; there were; used to be (auxiliary/existence; ongoing habitual/background past)
122,dios,god
123,has,you have (auxiliary/existence)
124,antes,before; earlier
125,día,day
126,desde,from; since
127,tenemos,have (possession/age/state/obligation)
128,poco,little; not much
129,cosas,thing (plural)
130,ti,you (prepositional)
131,otra,other; another (feminine)
132,mismo,self
133,han,they have (auxiliary/existence)
134,hecho,done; completed
135,alguien,someone; somebody
136,puedes,you are able to
137,ahí,there
138,dijo,he said; she said; it said (completed past)
139,estar,to be (state/location/result)
140,entre,between; among
141,noche,night
142,trabajo,job; work
143,ir,to go
144,después,after; later
145,mis,my (plural)
146,sea,I be;you be;he be;she be;it be;you be(formal) (present subjunctive; identity/essence/origin/time)
147,acuerdo,agreement
148,otro,other; another (masculine)
149,parece,you seem
150,donde,where
151,ellos,they; them
152,estamos,are (state/location/result)
153,mundo,world; earth
154,gente,people
155,nosotros,we; us
156,padre,father
157,estado,been (state/location/result)
158,nadie,nobody; no one
159,tal,such
160,les,them
161,parte,part; share; section; portion
162,sido,been (identity/essence/origin/time; past participle masculine singular)
163,momento,moment; instant
164,podría,I would be able to
165,menos,less
166,mira,look; look at; he/she looks
167,quiere,you want
168,fuera,outside
169,gran,big; large
170,lugar,place
171,hablar,to talk
172,tener,to have (possession/age/state/obligation)
173,tenía,I had; he had; she had; it had (possession/age/state/obligation; ongoing habitual/background past)
174,tres,three
175,nuevo,new
176,pasa,it happens
177,vas,you go
178,cada,each; every
179,claro,clear; easily understood
180,dinero,money
181,madre,mother
182,mañana,tomorrow
183,tipo,kind; type; sort; manner
184,hoy,today
185,días,day (plural)
186,luego,then
187,allí,there; over there
188,mujer,woman
189,nuestro,our
190,tanto,so much; so many
191,cosa,thing
192,sabe,you know
193,todas,all (feminine plural)
194,haciendo,doing
195,hijo,son
196,dice,he says; she says; it says
197,seguro,safe; secure
198,podemos,we are able to
199,debe,you owe
200,espera,wait
201,vale,OK; it's worth it
202,será,will be (identity/essence/origin/time)
203,estas,these (feminine plural)
204,toda,all; every (feminine)
205,haber,to have (auxiliary/existence)
206,tus,your (plural)
207,amigo,friend
208,nuestra,our (feminine singular)
209,buena,good (feminine singular)
210,aún,still; yet (continuation)
211,quien,who
212,estos,these (masculine plural)
213,nombre,name
214,tienen,they have (possession/age/state/obligation)
215,veces,by; times
216,mamá,mum; mom
217,mal,badly; poorly
218,buen,good
219,durante,during
220,papá,dad
221,quería,I wanted; he wanted; she wanted; it wanted (ongoing habitual/background past)
222,dije,I said
223,unos,some (masculine plural)
224,pasado,past
225,forma,form; shape; figure
226,gusta,likes; pleases
227,hizo,he did; she did; it did; he made; she made; it made (completed past)
228,caso,case
229,contra,against
230,tarde,late
231,necesito,I need
232,oye,hey! listen!
233,alguna,some; any (feminine)
234,hemos,we have (auxiliary/existence)
235,cuenta,count; tally
236,visto,seen
237,conmigo,with me
238,mientras,while; meanwhile
239,otros,other; another (masculine plural)
240,realmente,really; actually; genuinely
241,hora,hour
242,problema,issue; problem; challenge
243,crees,you believe
