rank,lemma,old_translation,new_translation,pass,reason
88,entonces,then; next; thereupon; at that time,then; so; at that time,pass3,learner-focused polish / artifact cleanup
271,serio,sober; solemn; serious; earnest,serious,pass3,learner-focused polish / artifact cleanup
442,frente,brow; forehead,front; forehead,pass3,learner-focused polish / artifact cleanup
447,toma,taking; capture; conquest; takeover,take; taking,pass3,learner-focused polish / artifact cleanup
549,plan,scheme,plan,pass3,learner-focused polish / artifact cleanup
645,personal,staff; personnel,staff; personnel; personal,pass3,learner-focused polish / artifact cleanup
676,preguntas,question (plural),questions,pass3,learner-focused polish / artifact cleanup
692,sueño,sleep; slumber,sleep; dream,pass3,learner-focused polish / artifact cleanup
792,partes,genitalia (plural),parts,pass3,learner-focused polish / artifact cleanup
872,cualquiera,anyone; whoever; whomever,anyone; any; whatever,pass3,learner-focused polish / artifact cleanup
892,adónde,whither; whereto; to where,where; to where,pass3,learner-focused polish / artifact cleanup
932,peligro,peril; danger,danger,pass3,learner-focused polish / artifact cleanup
960,caballeros,horseman (masculine plural),gentlemen,pass3,learner-focused polish / artifact cleanup
1069,misión,quest; mission,mission,pass3,learner-focused polish / artifact cleanup
1113,medios,media; mass media as a whole (masculine plural),means; media,pass3,learner-focused polish / artifact cleanup
1127,bar,pub; café; coffee shop,bar; pub,pass3,learner-focused polish / artifact cleanup
1248,sueños,sleep; slumber (masculine plural),dreams,pass3,learner-focused polish / artifact cleanup
1269,peligroso,perilous; dangerous,dangerous,pass3,learner-focused polish / artifact cleanup
1310,copa,glass; stemmed glass; goblet or its content,glass; cup,pass3,learner-focused polish / artifact cleanup
1494,molesta,vexed; annoyed (feminine singular),bothers; annoys,pass3,learner-focused polish / artifact cleanup
1628,caballero,horseman,gentleman,pass3,learner-focused polish / artifact cleanup
1882,temas,plot; theme (plural),topics; themes,pass3,learner-focused polish / artifact cleanup
1966,disco,club; discotheque,disc; record,pass3,learner-focused polish / artifact cleanup
2055,deber,to owe; should; ought to,to have to; should; duty,pass3,learner-focused polish / artifact cleanup
2077,fantasma,ghost; wraith; phantom,ghost; phantom,pass3,learner-focused polish / artifact cleanup
2403,vueltas,go-back (plural),turns; laps,pass3,learner-focused polish / artifact cleanup
2412,vehículo,vehicle,vehicle; car,pass3,learner-focused polish / artifact cleanup
2455,seria,sober; solemn; serious; earnest (feminine singular),serious (feminine singular),pass3,learner-focused polish / artifact cleanup
2563,masa,mass; dough,mass; dough; crowd,pass3,learner-focused polish / artifact cleanup
2815,ruego,plea; request; I beg,plea; request,pass3,learner-focused polish / artifact cleanup
2859,ja,ha; representation of laughter,ha; haha,pass3,learner-focused polish / artifact cleanup
2943,cobarde,craven; gutless; cowardly; spineless,cowardly; coward,pass3,learner-focused polish / artifact cleanup
3058,petición,request,request; petition,pass3,learner-focused polish / artifact cleanup
3207,asqueroso,gross; repulsive; disgusting; distasteful,gross; disgusting,pass3,learner-focused polish / artifact cleanup
3343,fantasmas,ghost; wraith; phantom (plural),ghosts; phantoms,pass3,learner-focused polish / artifact cleanup
3373,prometido,engaged,fiancé; promised,pass3,learner-focused polish / artifact cleanup
3458,desagradable,unpleasant; distasteful; off-putting; disagreeable,unpleasant; disagreeable,pass3,learner-focused polish / artifact cleanup
3467,vehículos,vehicle (masculine plural),vehicles,pass3,learner-focused polish / artifact cleanup
3726,adonde,whither; to where,where; to where,pass3,learner-focused polish / artifact cleanup
3770,cuestiones,issue; matter; question,issues; matters; questions,pass3,learner-focused polish / artifact cleanup
3905,peligrosa,perilous; dangerous (feminine singular),dangerous (feminine singular),pass3,learner-focused polish / artifact cleanup
3939,solicitud,request; solicitation,request; application,pass3,learner-focused polish / artifact cleanup
4006,discos,club; discotheque (masculine plural),discs; records,pass3,learner-focused polish / artifact cleanup
4471,copas,glass; stemmed glass; goblet or its content (plural),glasses; cups,pass3,learner-focused polish / artifact cleanup
4598,accidentes,accident (plural),accidents,pass3,learner-focused polish / artifact cleanup
4899,nelson,synonym of nel,Nelson,pass3,learner-focused polish / artifact cleanup
4973,mexicana,compare mexiquense) (feminine singular),Mexican (feminine singular),pass3,learner-focused polish / artifact cleanup
5169,mexicanos,compare mexiquense) (masculine plural),Mexican (masculine plural),pass3,learner-focused polish / artifact cleanup
5198,vientos,synonym of bien,winds,pass3,learner-focused polish / artifact cleanup
6860,agustín,synonym of a gusto,Agustín,pass3,learner-focused polish / artifact cleanup
7150,deportiva,synonym of zapatilla de deporte,sports; athletic (feminine singular),pass3,learner-focused polish / artifact cleanup
7415,quienquiera,whoever; whomever,whoever; anyone who,pass3,learner-focused polish / artifact cleanup
7949,chi,synonym of sí,yes,pass3,learner-focused polish / artifact cleanup
8086,tenias,tapeworm (plural),you had (ongoing habitual/background past),pass3,learner-focused polish / artifact cleanup
10495,bocas,synonym of bocazas (plural),mouths,pass3,learner-focused polish / artifact cleanup
10654,ademas,synonym of ademe (plural),also; besides,pass3,learner-focused polish / artifact cleanup
11801,guapas,arrowroot (feminine plural),pretty; attractive (feminine plural),pass3,learner-focused polish / artifact cleanup
12310,guapos,arrowroot (masculine plural),handsome; good-looking (masculine plural),pass3,learner-focused polish / artifact cleanup
12998,bikini,ham and cheese sandwich,bikini,pass3,learner-focused polish / artifact cleanup
14400,josefina,female equivalent of josefino (feminine singular),Josefina,pass3,learner-focused polish / artifact cleanup
15303,mexicanas,compare mexiquense) (feminine plural),Mexican (feminine plural),pass3,learner-focused polish / artifact cleanup
15569,montesinos,mountain-; synonym of montés (masculine plural),Montesinos,pass3,learner-focused polish / artifact cleanup
16124,purgatorio,synonym of purgativo,purgatory,pass3,learner-focused polish / artifact cleanup
18479,condicionado,synonym of acondicionado,conditioned,pass3,learner-focused polish / artifact cleanup
19706,abuelas,grandmother; female equivalent of abuelo (plural),grandmothers,pass3,learner-focused polish / artifact cleanup
