lemma,count,source_column,lemma_original,lemma_normalized,lemma_lemmatized,lemma_lookup_used,lemma_translated,translated_flag,translation_source
es,8013166,lemma,es,es,es,es,[UNTRANSLATED] es,FALSE,untranslated
está,2627414,lemma,está,está,está,está,[UNTRANSLATED] está,FALSE,untranslated
ha,1452267,lemma,ha,ha,ha,ha,[UNTRANSLATED] ha,FALSE,untranslated
estoy,1122710,lemma,estoy,estoy,estoy,estoy,[UNTRANSLATED] estoy,FALSE,untranslated
vamos,1072351,lemma,vamos,vamos,vamos,vamos,[UNTRANSLATED] vamos,FALSE,untranslated
fue,1005240,lemma,fue,fue,fue,fue,[UNTRANSLATED] fue,FALSE,untranslated
tengo,986784,lemma,tengo,tengo,tengo,tengo,[UNTRANSLATED] tengo,FALSE,untranslated
tiene,954339,lemma,tiene,tiene,tiene,tiene,[UNTRANSLATED] tiene,FALSE,untranslated
sé,946793,lemma,sé,sé,sé,sé,[UNTRANSLATED] sé,FALSE,untranslated
estás,929301,lemma,estás,estás,estás,estás,[UNTRANSLATED] estás,FALSE,untranslated
he,879341,lemma,he,he,he,he,[UNTRANSLATED] he,FALSE,untranslated
puedo,825278,lemma,puedo,puedo,puedo,puedo,[UNTRANSLATED] puedo,FALSE,untranslated
quiero,822885,lemma,quiero,quiero,quiero,quiero,[UNTRANSLATED] quiero,FALSE,untranslated
puede,792545,lemma,puede,puede,puede,puede,[UNTRANSLATED] puede,FALSE,untranslated
soy,772069,lemma,soy,soy,soy,soy,[UNTRANSLATED] soy,FALSE,untranslated
estaba,730266,lemma,estaba,estaba,estaba,estaba,[UNTRANSLATED] estaba,FALSE,untranslated
creo,683937,lemma,creo,creo,creo,creo,[UNTRANSLATED] creo,FALSE,untranslated
tienes,682238,lemma,tienes,tienes,tienes,tienes,[UNTRANSLATED] tienes,FALSE,untranslated
esa,668819,lemma,esa,esa,esa,esa,[UNTRANSLATED] esa,FALSE,untranslated
voy,662485,lemma,voy,voy,voy,voy,[UNTRANSLATED] voy,FALSE,untranslated
sabes,647130,lemma,sabes,sabes,sabes,sabes,[UNTRANSLATED] sabes,FALSE,untranslated
eres,641438,lemma,eres,eres,eres,eres,[UNTRANSLATED] eres,FALSE,untranslated
hace,609859,lemma,hace,hace,hace,hace,[UNTRANSLATED] hace,FALSE,untranslated
va,604495,lemma,va,va,va,va,[UNTRANSLATED] va,FALSE,untranslated
están,551731,lemma,están,están,están,están,[UNTRANSLATED] están,FALSE,untranslated
quieres,524005,lemma,quieres,quieres,quieres,quieres,[UNTRANSLATED] quieres,FALSE,untranslated
siento,521986,lemma,siento,siento,siento,siento,[UNTRANSLATED] siento,FALSE,untranslated
había,512587,lemma,había,había,había,había,[UNTRANSLATED] había,FALSE,untranslated
has,507560,lemma,has,has,has,has,[UNTRANSLATED] has,FALSE,untranslated
tenemos,498611,lemma,tenemos,tenemos,tenemos,tenemos,[UNTRANSLATED] tenemos,FALSE,untranslated
otra,482966,lemma,otra,otra,otra,otra,[UNTRANSLATED] otra,FALSE,untranslated
han,478219,lemma,han,han,han,han,[UNTRANSLATED] han,FALSE,untranslated
puedes,470464,lemma,puedes,puedes,puedes,puedes,[UNTRANSLATED] puedes,FALSE,untranslated
dijo,451371,lemma,dijo,dijo,dijo,dijo,[UNTRANSLATED] dijo,FALSE,untranslated
sea,421711,lemma,sea,sea,sea,sea,[UNTRANSLATED] sea,FALSE,untranslated
parece,410169,lemma,parece,parece,parece,parece,[UNTRANSLATED] parece,FALSE,untranslated
estamos,402058,lemma,estamos,estamos,estamos,estamos,[UNTRANSLATED] estamos,FALSE,untranslated
sido,376857,lemma,sido,sido,sido,sido,[UNTRANSLATED] sido,FALSE,untranslated
podría,369129,lemma,podría,podría,podría,podría,[UNTRANSLATED] podría,FALSE,untranslated
mira,366113,lemma,mira,mira,mira,mira,[UNTRANSLATED] mira,FALSE,untranslated
quiere,365883,lemma,quiere,quiere,quiere,quiere,[UNTRANSLATED] quiere,FALSE,untranslated
