count,spanish,pos,flags,usage,source_column,lemma_original,lemma_normalized,lemma_lemmatized,lemma_lookup_used,lemma_translated,translated_flag,translation_source
174618,suceder,v,,63457:sucede|39256:sucedió|14781:suceder|14448:sucedido|12044:sucediendo|8479:suceda|6286:sucederá|3656:suceden|2736:sucedía|2678:sucediera|1799:sucedería|1573:sucedieron|538:sucedan|529:sucedían|498:sucederle|248:sucederán|246:sucediese|231:sucederme|182:sucedidos|134:sucederte|121:sucedieran|99:sucederse|78:sucederlo|74:sucediéndose|69:sucedernos|68:sucederían|49:sucederles|47:sucedida|42:sucedidas|29:sucediéndole|17:sucediéndome|16:sucediesen|15:sucedo|11:sucederla|11:sucedí|10:sucedas|10:sucederos|10:sucediere|8:sucederás|7:sucedes|6:sucediéndote|5:sucedieras|5:sucediste|4:sucederlos|4:sucederé|4:sucediéndoles,spanish,suceder,suceder,suceder,suceder,[UNTRANSLATED] suceder,FALSE,untranslated
152797,genial,adj,,146594:genial|6203:geniales,spanish,genial,genial,genial,genial,[UNTRANSLATED] genial,FALSE,untranslated
132042,ox,interj,,131791:os|251:ox,spanish,ox,ox,ox,ox,[UNTRANSLATED] ox,FALSE,untranslated
102696,callar,v,,56478:cállate|10629:calla|5122:callar|4168:cállese|3597:callate|3332:cállense|2411:callas|2128:callarte|2032:callen|1381:callaos|1348:callo|1314:callarse|938:calló|814:callan|775:callarme|536:callara|497:callad|486:callaba|485:callaré|416:callaras|353:callaros|263:callaron|261:callando|247:callé|227:callarlo|187:callarla|175:callamos|171:callarás|165:callará|131:callaban|128:callarnos|110:callaría|104:callaran|98:callaste|85:calláis|81:callase|71:callarán|69:calléis|68:cállalo|64:callarlos|63:callemos|48:callarías|44:callaremos|44:callarle|38:cállala|37:callabas|30:callás|28:cállenlo|27:calláramos|26:callármelo|26:cállame|25:callándome|24:callándose|23:callare|21:callarlas|21:callábamos|21:callándote|21:callémonos|19:callarían|15:callases|14:callarles|13:callasen|13:cállenla|10:callártelo|9:callándolo|9:cállalos|9:cállatelo|7:callá|7:callárselo|6:cállale|6:cállenlos|5:callalo|5:callaréis|5:callasteis|4:calladlo|4:callala|4:callarais|4:callaríamos|4:callaseis|4:callárnosla|4:callárnoslo|4:cállelo,spanish,callar,callar,callar,callar,[UNTRANSLATED] callar,FALSE,untranslated
97379,mentir,v,,18759:mintiendo|12694:mentir|7332:miente|7240:mintió|6510:mentido|6210:mentiste|5963:mentí|5630:mientes|4331:mientas|3237:miento|2768:mienten|2146:mentiría|1708:mentirle|1522:mentirme|1433:mentía|1416:mienta|1316:mentirte|998:mintieron|708:mentimos|620:mentiré|549:mintiera|523:mintiéndome|398:mientan|330:mentirles|312:mentirías|292:mentías|277:mentirnos|258:mintiéndole|218:mintieras|169:mentían|149:mintiéndote|140:mentirá|122:miénteme|115:mentirás|111:mintiéndonos|96:mentirían|81:mentirse|64:mintieran|58:mintamos|56:mentisteis|55:mentirán|50:mentiros|48:mintiéndoles|47:miéntele|44:mentiremos|44:mintiese|38:mentiríamos|38:mentíamos|32:mintáis|22:mintiéndose|20:mintiéramos|13:mintieses|13:miéntame|12:miénteles|10:mentirla|8:mentidos|6:mentid|6:miéntale|5:mintierais|5:miéntenos|4:miéntete,spanish,mentir,mentir,mentir,mentir,[UNTRANSLATED] mentir,FALSE,untranslated
92530,OK,adj,,92530:ok,spanish,OK,ok,ok,ok,[UNTRANSLATED] ok,FALSE,untranslated
91507,través,n,,91507:través,spanish,través,través,través,través,[UNTRANSLATED] través,FALSE,untranslated
80561,señorito,n,,69817:señorita|8597:señoritas|1859:señorito|288:señoritos,spanish,señorito,señorito,señorito,señorito,[UNTRANSLATED] señorito,FALSE,untranslated
68540,aforar,v,,68391:afuera|78:afores|57:afore|8:afuero|6:aforar,spanish,aforar,aforar,aforar,aforar,[UNTRANSLATED] aforar,FALSE,untranslated
66762,s,letter,,66762:s,spanish,s,s,s,s,[UNTRANSLATED] s,FALSE,untranslated
