rank,lemma,translation_non_fixed,translation_fixed
102,hace,ago (Note,ago; makes; does
166,mira,target,look; look at; he/she looks
222,dije,adorns; locket,I said
226,gusta,you taste,likes; pleases
234,hemos,heme (masculine plural),we have (auxiliary/existence)
246,primera,first gear,first
253,idea,he devises; she devises; it devises,idea
262,importa,you matter,matters; is important
265,policía,polity; police; Civility; public order,police officer; police
268,cualquier,anyone; whoever; whomever,any; any kind of
270,ven,they see (affirmative imperative tú),come (imperative); they see
274,nueva,news; novelty,new (feminine singular)
310,importante,important; that cares; that matters,important
327,da,you give,gives
337,general,overall,general; overall
350,incluso,enclosed; included,even; including
362,significa,you signify,means
388,deja,rest,leaves; lets
404,sigue,you follow,continues; follows
415,gustaría,I would taste,I would like
420,sentido,heartfelt; deeply felt,sense; meaning
439,trata,trade; trafficking; slave trade,deals with; is about; tries
445,llama,flame,calls; flame; llama
461,escucha,listening,listens; listen
473,oportunidad,timeliness,opportunity
509,dado,a die or dice,given
513,queda,curfew,remains; stays
527,necesitamos,we needed,we need
537,haga,I do,do; make (subjunctive/formal imperative)
561,acerca,he brings close; she brings close; it brings close,about; near
576,lleva,you take,carries; wears; takes
600,control,or running of a business,control
620,di,I gave (completed past),say (imperative); I gave
623,piensa,you think,thinks
646,café,brown,coffee; café
653,pienso,animal feed,I think
655,acaba,you finish,finishes; ends; just did
657,diga,way to say hello on the telephone,say; tell (subjunctive/formal imperative)
664,idiota,idiotic,idiot
703,noticias,notice (plural),news
736,suena,you sound,sounds
757,sucede,you happen,happens
761,siente,he seats; she seats; it seats,feels; is sorry
770,maría,magpie,María
783,existe,you exist,exists
791,vuelto,change,returned; come back
800,acabo,synonym of acabamiento,I just finished; I end
812,conoce,you know,knows; meets
816,vive,he applauds; she applauds; it applauds,lives
833,cámara,room,camera; chamber
848,baja,loss; casualty,low; drop; casualty
861,haz,do (imperative),do; make (imperative)
864,quiera,he desires; she desires; it desires,wants; want (subjunctive)
878,funciona,you work,works
900,alta,certificate of discharge,high; tall
912,radio,radius,radio
913,busca,search,looks for; searches for
920,llamo,I summon,I call; my name is
936,sale,ok,leaves; goes out; turns out
949,entendido,expert,understood
966,simple,mere; ordinary,simple
967,eras,age (plural),you were
1004,ninguno,no; none,none; no one; neither
1034,resulta,you result,it turns out; results
1048,llevó,he tooked; she tooked; it tooked (completed past),he/she took; carried
1060,tía,uncle (feminine singular),aunt
1078,anda,a bier or small platform,come on; go on; walk
1083,navidad,Christmas present,Christmas
1103,temo,I have an obsession,I fear
1115,juro,ownership,I swear
1120,parís,you give birth (vosotros present indicative),Paris
1134,animales,you inspire,animals
1149,vayas,expresses surprise (plural),you go (subjunctive)
1172,tuya,thuja,yours
1177,ideas,you devise,ideas
1185,blanca,minim; half note,white (feminine singular)
1193,dale,OK; right; okey dokey,come on; go ahead; give it to him/her
1201,disculpa,excuse,excuse me; sorry
1212,alegro,I make happy,I make happy; I'm glad (in me alegro)
1213,deje,accent,leave; let (subjunctive/formal imperative)
1223,veras,truth; reality (plural),you will see
1244,tomó,he tooked; she tooked; it tooked (completed past),he/she took; drank
1252,crisis,fit; attack,crisis
1262,red,web; mesh,network; net; web
1270,vuelva,he returns; she returns; it returns,return; come back (subjunctive)
1294,popular,Pertaining to PP; a Spanish political party,popular
1307,porqué,a reason,reason; why
1323,española,a female Spaniard,Spanish; Spanish woman
1343,recursos,writ (masculine plural),resources
1346,fiscal,prosecuting,prosecutor; tax-related; fiscal
1383,verme,worm,to see me
1385,depende,you depend,depends
1413,sepa,dunno; who knows,know (subjunctive/formal imperative)
1418,pasada,transit; crossing,past; last; passing
1426,tomado,drunk,taken; drunk
1428,clases,tuition (plural),classes
1447,menudo,what,what a...; small; tiny
1456,repente,attack; upsurge,sudden moment (in de repente)
1460,acabado,worn-out,finished; done
1477,tercera,a third,third
1480,salido,sticking out,gone out; left
1488,dejes,accent (plural),leave; let (subjunctive)
1490,llegue,stab; stabbing,arrive (subjunctive)
